thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
"10 Slogans By Me For FREE That Are Better Than The Crap Half Million “Hands, Face, Space”",COVID-19 Discussions,1,32,3,"Sep 9, 2020 3:45 pm","Sep 9, 2020 4:23 pm","Sep 9, 2020 4:23 pm",https://forum.fiverr.com/t/10-slogans-by-me-for-free-that-are-better-than-the-crap-half-million-hands-face-space/514406,"coerdelion, rosslombardi",rosslombardi,1.0,"!
.
10 Slogans By Me For FREE
That Are Better Than The Crap Half Million ""Hands, Face, Space""
.
Cover Mug,
Soaking Hands,
And too far away to hit a mate when you try and flick water at them!
.
Soapy, Soapy,
Hands and cover face
Bubble, Bubble
Keep social space
.
Clean it
Wear it
Distance it
.
Make effort
Make suds
Make room
.
Keep clean
Keep covered
Keep away
Keep smiling
.
When you wash
When you cover
When you distance
We ALL win
.
Generous with the water
Do what you Auta
.
Cover your face
Show some good grace
.
Generous with the soap
Generous with the hope
.
Generous with the gap
Give CORVID a SLAP
.
I cover my face
Because I have self-respect!
I washed my hands
Because I love my family!
I kept me distance
Because I am loyal to my friends!
.
Get that CORVID down the plug
Wash your hands cover your Mug!
Cover that Mug! Wash that face!
Keep your distance! Keep your space!
.
Wet Hands
Slippy Hands
Dry Hands
.
Germs are about!
Mask over mouth
.
Stay alert
Stay apart
Out! Corvid! Out!
.
.
10 better slogans done in less than an hour!
.
For FREE
.
Half a million?
My fat hairy arse!
.
I was barely even trying!
.
Someone, please explain to me again,
How and why I am still not a very well paid writer yet??!!
.
Or even a minimum wage one!
.
!",,1.0,"Sep 9, 2020 5:48 pm","coerdelion
Regular",2.0,"You are amusing.
I understand what you’re saying, also being from the UK.
Most won’t, however …",,"Sep 9, 2020 4:23 pm",2020-09-09 20:27:40.973835
Unemployment + Fiver?,COVID-19 Discussions,0,0,0,,,,https://forum.fiverr.com/t/unemployment-fiver/514346,,nickwelchprod,,"I am currently on unemployment because I got laid off from my job. I decided recently to start up a little fiverr store just so I can mostly get experience with music video editing. I am charging $5 for about a weeks worth of work. Now that fiver has asked me for a W-9, how do I report that on my unemployment? Also, is it possible that I can just keep all of the money in my fiver account until after I am off unemployment insurance to avoid paying taxes and showing that I got it yet, I just don’t want to risk losing my unemployment. Thank you!",,,,,,,,,2020-09-09 20:27:44.754433
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",donnovan86,6.0,"Well, there are less clients in most categories, as far as I can see, due to Covid and the implications regarding their business.
Add to that the fact that the number of sellers have doubled, even tripled in some cases. So… as far as I can see the situation is worse than before Covid, at least in my case.",,"Sep 2, 2020 4:57 pm",2020-09-09 20:27:49.105483
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",sadiklum,1.0,"Alas! That’s mean sellers are more than buyers. so, who are experienced are not treated in high rate. is it true ?",,"Sep 2, 2020 5:01 pm",2020-09-09 20:27:49.480390
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm","lloydsolutions
Regular",5.0,"Why not join in the conversation here: No sales at all, Maybe (COVID-19) is the reason? :( 19",,"Sep 2, 2020 5:03 pm",2020-09-09 20:27:49.823284
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",donnovan86,0.0,"sadiklum:
who are experienced are not treated in high rate. is it true ?
What do you mean here?",,"Sep 2, 2020 5:12 pm",2020-09-09 20:27:50.157168
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",sadiklum,1.0,"Those who are old and experienced , did they reduce their require amount for working ?",,"Sep 2, 2020 5:14 pm",2020-09-09 20:27:50.496739
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",vickiespencer,9.0,I have been here 3 years and consider myself experienced. I have not reduced my prices.,,"Sep 2, 2020 6:13 pm",2020-09-09 20:27:50.847425
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",sadiklum,1.0,Thank you so much for your opinion.,,"Sep 3, 2020 5:05 am",2020-09-09 20:27:51.180333
Are newcomers/ freelancers able to do well in this COVID-19 situation than before?,COVID-19 Discussions,14,239,38,"Sep 2, 2020 4:52 pm","Sep 2, 2020 4:57 pm","Sep 8, 2020 5:16 pm",https://forum.fiverr.com/t/are-newcomers-freelancers-able-to-do-well-in-this-covid-19-situation-than-before/510533,"sadiklum, donnovan86, fouzia_zakria, bakkar653, abidurahmanabid, vickiespencer, blossom_is_in, anika09, ejazoptimizer, lloydsolutions",sadiklum,8.0,We know every day thousands of people are coming in fiverr but In the COVID-19 situation are they hiring? Now many midlevel companies are started to the online platform which is not seen to do before the COVID-19 situation.,,1.0,"Sep 2, 2020 7:39 pm",fouzia_zakria,2.0,Covid had definitely affected online work everywhere. I guess it’s happening on Fiverr too. Many people complain of not get work. But There is nothing buyers or sellers can do here.,,"Sep 3, 2020 10:53 am",2020-09-09 20:27:51.513149
