thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",mic_explainer,11,"@mjensen415
may God protect us all
Basically what we can do to help ourselves is to avoid touching ourselves like shaking hands or hugging we should maintain some distance.
On the financial aspects, not everybody is financially buoyant as all fingers ain’t equal, during this lockdown, some staying at home doesn’t benefit them those that are financially fit should help out.",N/A,"Mar 26, 2020 12:40 pm",2020-07-29 18:03:26.423826
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",freelancerbkas,10,Our country is a densely populated country. The risk of the virus is very high in this country.,N/A,"Mar 27, 2020 3:15 am",2020-07-29 18:03:26.786413
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",mic_explainer,4,"@freelancerbkas
You’re from which country?",N/A,"Mar 28, 2020 8:23 am",2020-07-29 18:03:27.192446
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",freelancerbkas,8,I am from Bangladesh.,N/A,"Mar 28, 2020 11:39 am",2020-07-29 18:03:27.605661
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",mic_explainer,5,"OK bro, may God watch over us all! mashallar.",N/A,"Mar 28, 2020 4:32 pm",2020-07-29 18:03:27.942877
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",moeez10,3,hope so everyone in GODS shelter safety first so plz stay at home and do favours with needy peoples who had nothing due to lock down,N/A,"Apr 4, 2020 3:57 pm",2020-07-29 18:03:28.360615
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",rafaelsanchezrd,6,"Hello it would be helpful if Fiverr reduce Clearing time, there are tons of freelancers waiting 10,15,20 days to get the money in our accounts, recuding clearing time will be a hand to us.",N/A,"Apr 11, 2020 9:59 am",2020-07-29 18:03:28.767891
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",drinon,4,"Great initiative.
Keeping sure fake news are not propagating, its best to consult experts’ guidance and suggestions.
This is a killing virus globally.
If we ensure accuracy and transparency - all will benefit.",N/A,"Apr 11, 2020 6:29 pm",2020-07-29 18:03:29.177018
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",gharkahakeemno1,2,We need social distance from each other but also we need help each others some needy persons in our surroundings want support from us we are responsible for help them.,N/A,"Apr 15, 2020 1:02 pm",2020-07-29 18:03:29.571166
About the COVID-19 Discussions category,COVID-19 Discussions,22,668,125,"Mar 26, 2020 12:19 pm","Mar 26, 2020 12:40 pm","Jul 23, 2020 10:22 am",https://forum.fiverr.com/t/about-the-covid-19-discussions-category/425476,"mic_explainer, makebossmoves, freelancerbkas, uniquedesign95, suburunnithan, rafaelsanchezrd, mdshakil_khan, nahidabir, sakib_ananno, moeez10, adnanmahmud, sarif4design, alamin_wdev, gharkahakeemno1, engr_ayesha, drinon, mjensen415, deons_design6, alcymedia","mjensen415
Fiverr Staff",49,I’ve created this category to be a lightning rod for all COVID-19 discussions. Not only the disease itself but what we’re all doing to help each other through these times.,N/A,1,"Mar 26, 2020 12:24 pm",alcymedia,4,"What do you guys think about this?
Because of this Pandemic Payment Clearance should be less than 14 days
COVID-19 Discussions
Hello Fellow Sellers, Don’t you guys think payment should be less than 14 days because of this pandemic. because I think is affecting everyone. Share your thoughts! Think we should send this recommendation to Fiverr Support team!",N/A,"Apr 16, 2020 4:57 pm",2020-07-29 18:03:29.975698
