thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
Tips $ in pandemic times?,COVID-19 Discussions,0,0,0,,,,https://forum.fiverr.com/t/tips-in-pandemic-times/513085,,danytenerife,7.0,"strong text
Hi guys , do you still receive tips after a good delivery?
In my case , i win more tips in pandemic times than couple years ago.
Looks like the customers was happy , and will send tips couple bucks more more easily than in the past.
How its your experience about that ? Increase tips $ ?",,1.0,"Sep 7, 2020 2:16 pm",,,,,,2020-09-07 14:17:25.105961
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",lenasemenkova,49.0,"My inbox went dead on Thursday (was it when the state of emergency was declared?) Then I got an order that was canceled before the requirements were even submitted because the event the project was for was canceled. I’m already at nearly 50% of my monthly revenue now so it could be worse, I suppose.
Fiverr obviously can’t force people into spending money or committing to new projects when they’d much rather panic or just reschedule things and restructure budgets until we get a clearer picture of where all of this is going.",,"Mar 14, 2020 9:26 am",2020-09-07 14:17:56.068692
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",misscrystal,57.0,"I am going to carry on from the comfort of my home as much as possible and then just see what happens.
We are lucky about working from home.",,"Mar 14, 2020 9:33 am",2020-09-07 14:17:56.482622
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",wpfalcon,35.0,"Don’t worry, You will get some orders really soon. I really suggest you to lower your prices on both of your gigs. $55 for a flyer is not cheap for some Fiverr users but yeah $55 for a unique poster is a pretty good deal. Btw, If you’re not depended on Fiverr then it’s ok to raise your prices. Actually in my case, I’m 100% depended on Fiverr right now.
I can assure you that our current situation is temporary & we will get more projects really soon",,"Mar 14, 2020 10:31 pm",2020-09-07 14:17:56.867788
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",wpfalcon,33.0,Yes you’re right. 9-5 job was a nightmare for me that’s why I’m working as a full time freelancer here. For me one of the best parts about being a freelancer is that you aren’t accountable to anyone except yourself so we can do whatever we want,,"Mar 14, 2020 10:36 pm",2020-09-07 14:17:57.274605
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",pedrito2387,26.0,"@wpfalcon yes i have also noticed a decrease in impressions and orders from my gigs in the last 2 weeks or so, the economy in china and u.s are also taking a hit so im pretty sure the Covid-19 has a lot to do with it. let’s just pray that everything goes back to normal and that we can defeat this thing.",,"Mar 14, 2020 11:44 pm",2020-09-07 14:17:57.690691
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",graphtersawyer,34.0,"I really suggest you to lower your prices on both of your gigs.
Uh no. $55 is a steal for the quality of work she delivers. And you’re definitely paying for more than the graphic. Communication is , and the smoothest graphics orders I’ve had are with her. If anything, the prices should go up, not down.
Aside from that, I know a lot of places are canceling events, but churches are having to ramp up the graphics and content to compensate for the online services we’ll be doing until it’s safer to be in large gatherings. Plus, Easter is coming up. The Bible belt has been busy.
None of my writing projects have changed any, but I’m mostly doing long term work now and less short stories, so that’s probably what’s maintained the stability in my sales.",,"Mar 15, 2020 1:17 am",2020-09-07 14:17:58.093153
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",lenasemenkova,25.0,"My prices work fine for me. Especially considering the amount of work each of the designs take. Doing tons of work for peanuts is not something I’m looking for.
The issue, I think, is more about what is being sold. I might have to rethink the kind of services I provide or expand.
According to multiple experts, the current situation is only at its beginning stages. I don’t feel overly optimistic but we’ll see about that.",,"Mar 15, 2020 3:47 am",2020-09-07 14:17:58.489827
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",wpfalcon,13.0,"(Recent delivery 15 days ago. )
I’m feeling emotional right now, God is testing my patience for no reason",,"Mar 17, 2020 10:06 am",2020-09-07 14:17:58.894164
"No sales at all, Maybe (COVID-19) is the reason?",COVID-19 Discussions,378,9.7k,1.5k,"Mar 14, 2020 9:05 am","Mar 14, 2020 9:26 am","Sep 7, 2020 4:47 am",https://forum.fiverr.com/t/no-sales-at-all-maybe-covid-19-is-the-reason/421207,,wpfalcon,147.0,"First of all, Maybe some of you know me very well because I was a really active user on this forum but then I stopped posting here for some reason. I was busy working on my other projects & for sometime I even stopped working on Fiverr but now I’m back here. You guys can discuss with me on any topic & If you like fighting on some topics then try me because I don’t take things personally very easily.
Just kidding
I don’t know why but I’m not getting any orders at all. No messages… Nothing
Maybe Coronavirus is the culprit because mostly all of my buyers are from USA. Recently one buyer told me that work is very very slow here in the US.
Today POTUS (Donald Trump) declares national emergency to combat Coronavirus so I don’t think my sales will get any better in next few days. Recently, I watched this Australian news channel where 2 ladies are fighting for a toilet paper & I was like ***.
I even contacted Fiverr Support team today & they responded:
“Fiverr does not guarantee impressions, clicks or views for your Gig. We provide a marketplace for you to advertise your Gigs, and it is up to you to make them appealing, and promote them outside of Fiverr to increase the number of views your Gig receives.”
Typical Fiverr response
What do you think guys??",,1.0,"Mar 26, 2020 9:13 pm",susfteam,14.0,"ah, same tragic story",,"Mar 17, 2020 3:55 pm",2020-09-07 14:17:59.275134
