thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
About the Fiverr Site category,Fiverr Site,1,2.7k,99,"Dec 16, 2016 5:21 am",N/A,"Dec 28, 2016 1:12 pm",https://forum.fiverr.com/t/about-the-fiverr-site-category/16,system,system,99,"The Fiverr Site Category is a section for information about the entire Fiverr website. There are categories within this section to report bugs to the community, make suggestions about the fiverr.com 31 site, etc.",N/A,1,"Dec 28, 2016 1:12 pm",N/A,N/A,N/A,N/A,N/A,2020-08-18 21:43:01.969992
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",janali,0,I think you’ll have to click on it regardless for it to disappear.,N/A,"Aug 18, 2020 6:56 pm",2020-08-18 21:43:07.150187
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",the_mad_duck,0,"I have, it’s still stuck there. It’s a bit distracting when I try to communicate with customers, it being a contrasting orange on a green and black website.",N/A,"Aug 18, 2020 6:58 pm",2020-08-18 21:43:07.539563
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",hazel_justin131,1,"If you are not a USA seller, you just have to click “NO” after clicking on the profile and selecting W9 form and it will disappeaar",N/A,"Aug 18, 2020 7:18 pm",2020-08-18 21:43:07.931925
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm","imagination7413
Regular",1,"It vanished for me after a few hours.
Also, why did you not ask this in the W-9 US Verification Requirement thread?",N/A,"Aug 18, 2020 7:26 pm",2020-08-18 21:43:08.294259
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",misscrystal,0,"the_mad_duck:
I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
I think you still need to fill out the w9 no matter how much you make but will not be given a 1099 since you don’t need to worry about taxes if you have not earned much.",N/A,"Aug 18, 2020 7:26 pm",2020-08-18 21:43:08.688664
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",the_mad_duck,0,"Will my gigs be locked if I don’t complete it, even though I don’t make enough to matter?",N/A,"Aug 18, 2020 7:28 pm",2020-08-18 21:43:09.030395
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",freelanceplus1,0,yep. just do the needful and put it behind you.,N/A,"Aug 18, 2020 7:31 pm",2020-08-18 21:43:09.411222
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",misscrystal,0,"the_mad_duck:
Will my gigs be locked if I don’t complete it, even though I don’t make enough to matter?
I only know what we have been told so I have no idea but just do it and then no worries about it.",N/A,"Aug 18, 2020 7:56 pm",2020-08-18 21:43:09.810919
Is the W-9 popup permanently stuck on my screen?,"Fiverr Site
Report a Bug",11,39,2,"Aug 18, 2020 6:47 pm","Aug 18, 2020 6:56 pm","Aug 18, 2020 9:29 pm",https://forum.fiverr.com/t/is-the-w-9-popup-permanently-stuck-on-my-screen/502981,"the_mad_duck, misscrystal, vickiespencer, hazel_justin131, seoalamin10x, freelanceplus1, imagination7413, mariashtelle1, janali",the_mad_duck,,""" Check if you need to fill out Form W-9 to keep your Gigs active. You got 30 days to check.""
Is this going to stay on my screen for an entire 30 days? I cannot find a way to close it, and I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Thank you,
the_mad_duck
Update: I found a temporary fix, I used AdBlocker’s “Block element” tool to block the popup.",N/A,1,"Aug 18, 2020 7:01 pm",vickiespencer,0,"the_mad_duck:
Is this going to stay on my screen for an entire 30 days?
Mine went away the day after I filled out the form.
the_mad_duck:
I do not make enough to fall into the category of sellers that need to fill out a W-9 form.
Regardless, every Us citizen must fill out the W9. Please read this notice by Fiverr. The first FAQ explains it.
https://sellers.fiverr.com/en/article/w-9-collection
the_mad_duck:
Will my gigs be locked if I don’t complete it,
This is what the thread said
W-9 US Verification Requirement
Please note that all sellers are required to check if they need to fill out a Form W-9, regardless of their place of residence. By not doing so, within 30 days, your Gigs will be subject to automatic deactivation.
the_mad_duck:
even though I don’t make enough to matter?
It does not matter if you do not make $20,000. The W9 must be filled out. Fiverr will send 1099 to the relevant tax authority only if you make $20,000.
W-9 US Verification Requirement
When Fiverr is required under applicable laws, it will send a 1099 form at the end of the year to the applicable tax authorities. Currently, this applies to US-based sellers who earned at least $20,000 in that year and had at least 200 separate orders.
the_mad_duck:
Check if you need to fill out Form W-9 to keep your Gigs active.
The only users who do not need to do this are non-US citizens.",N/A,"Aug 18, 2020 9:16 pm",2020-08-18 21:43:10.238578
