thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
Fiverr should provide real time update of Impressions and clicks,"Fiverr Site
Fiverr Site Suggestions",1,36,3,"Sep 5, 2020 5:55 am","Sep 5, 2020 5:57 am","Sep 5, 2020 5:57 am",https://forum.fiverr.com/t/fiverr-should-provide-real-time-update-of-impressions-and-clicks/511786,"jonbaas, shashank0407",shashank0407,,"Hello, I would like to suggest that fiverr should show real-time updated information of impressions and clicks. Generally, fiverr update impressions and clicks after a few hours or sometimes on the next day.
Thank You",,,,jonbaas,3.0,How will live impressions and clicks make you a better seller than the current daily update?,,"Sep 5, 2020 5:57 am",2020-09-06 15:26:31.911974
Running time issue,"Fiverr Site
Report a Bug",4,48,2,"Sep 5, 2020 12:45 am","Sep 5, 2020 1:59 am","Sep 5, 2020 5:41 am",https://forum.fiverr.com/t/running-time-issue/511657,"visheshanily, uk1000, coerdelion",visheshanily,1.0,so i have a video editing gig and the running time is in minutes but when the gig got published it shows running time in seconds due to which my minute video time now says 10 second .,,1.0,"Sep 5, 2020 1:52 am",uk1000,0.0,"It would be best tor report it as a bug to support so they can fix it.
I have a similar one reported to support 4 months ago (that they’re still working on) about a gig where sending offers asks for it in seconds and whatever you put in the seconds field gets shown as minutes when the offer is sent.",,"Sep 5, 2020 1:59 am",2020-09-06 15:26:36.271634
Running time issue,"Fiverr Site
Report a Bug",4,48,2,"Sep 5, 2020 12:45 am","Sep 5, 2020 1:59 am","Sep 5, 2020 5:41 am",https://forum.fiverr.com/t/running-time-issue/511657,"visheshanily, uk1000, coerdelion",visheshanily,1.0,so i have a video editing gig and the running time is in minutes but when the gig got published it shows running time in seconds due to which my minute video time now says 10 second .,,1.0,"Sep 5, 2020 1:52 am",visheshanily,0.0,thankyou so much . could you please help find the report button as to where to report the gig bug …because i just joined few days ago?,,"Sep 5, 2020 3:32 am",2020-09-06 15:26:36.652291
Running time issue,"Fiverr Site
Report a Bug",4,48,2,"Sep 5, 2020 12:45 am","Sep 5, 2020 1:59 am","Sep 5, 2020 5:41 am",https://forum.fiverr.com/t/running-time-issue/511657,"visheshanily, uk1000, coerdelion",visheshanily,1.0,so i have a video editing gig and the running time is in minutes but when the gig got published it shows running time in seconds due to which my minute video time now says 10 second .,,1.0,"Sep 5, 2020 1:52 am",uk1000,0.0,"The link is:
https://www.fiverr.com/support_tickets/new
It’s also shown at the bottom of the seller help centre page (but it doesn’t show it with Chrome unless you click “view all topics”).",,"Sep 5, 2020 3:33 am",2020-09-06 15:26:37.054767
Running time issue,"Fiverr Site
Report a Bug",4,48,2,"Sep 5, 2020 12:45 am","Sep 5, 2020 1:59 am","Sep 5, 2020 5:41 am",https://forum.fiverr.com/t/running-time-issue/511657,"visheshanily, uk1000, coerdelion",visheshanily,1.0,so i have a video editing gig and the running time is in minutes but when the gig got published it shows running time in seconds due to which my minute video time now says 10 second .,,1.0,"Sep 5, 2020 1:52 am","coerdelion
Regular",1.0,"You will find this free course from Fiverr Learn useful for explaining how everything works:
Learn from Fiverr
Online Freelancing Essentials: Be a Successful Fiverr Seller
Learn how to grow your freelance business on Fiverr, get Fiverr's top sellers best strategies and tips and become a successful online freelancer",,"Sep 5, 2020 5:41 am",2020-09-06 15:26:37.450607
Impressions are zero,"Fiverr Site
Report a Bug",2,49,4,"Sep 4, 2020 9:55 pm","Sep 4, 2020 10:29 pm","Sep 5, 2020 3:00 am",https://forum.fiverr.com/t/impressions-are-zero/511622,"gfxrana, inzent, asit_mishra",asit_mishra,3.0,"Why suddenly my impressions in all the gigs are zero??
I made a gig 2 days before… It had 326 impressions and now zero and the other gig too",,,,inzent,1.0,"First of all, welcome them to our community!
gig always rotating and impressions, clicks, every day changing it`s normal.
always try to design unique gigs",,"Sep 4, 2020 10:29 pm",2020-09-06 15:26:41.749466
Impressions are zero,"Fiverr Site
Report a Bug",2,49,4,"Sep 4, 2020 9:55 pm","Sep 4, 2020 10:29 pm","Sep 5, 2020 3:00 am",https://forum.fiverr.com/t/impressions-are-zero/511622,"gfxrana, inzent, asit_mishra",asit_mishra,3.0,"Why suddenly my impressions in all the gigs are zero??
I made a gig 2 days before… It had 326 impressions and now zero and the other gig too",,,,gfxrana,0.0,try to give own created image on gig and give more time on fiverr.,,"Sep 5, 2020 3:00 am",2020-09-06 15:26:42.105350
Problems with payment,"Fiverr Site
Report a Bug",58,13.0k,55,"Apr 6, 2016 11:28 am","Apr 8, 2016 8:03 am","Sep 5, 2020 2:49 am",https://forum.fiverr.com/t/problems-with-payment/78949,,obpiotr,22.0,"Am I the only one who has not been able to pay for the gig with credit card?
can’t proceed to checkout at all
Anyone has had the same problem ?",,,,andreasst,3.0,"HI, I have the same problem, i tried with 4 different credit cards, 2 different web browser and on the app and it doesn’t work, same with paypal",,"Apr 8, 2016 8:03 am",2020-09-06 15:26:50.711902
Problems with payment,"Fiverr Site
Report a Bug",58,13.0k,55,"Apr 6, 2016 11:28 am","Apr 8, 2016 8:03 am","Sep 5, 2020 2:49 am",https://forum.fiverr.com/t/problems-with-payment/78949,,obpiotr,22.0,"Am I the only one who has not been able to pay for the gig with credit card?
can’t proceed to checkout at all
Anyone has had the same problem ?",,,,yannln,1.0,"Hi, I have the same problem now. Am I the only one ? Thx",,"Apr 12, 2016 11:56 am",2020-09-06 15:26:51.059888
Problems with payment,"Fiverr Site
Report a Bug",58,13.0k,55,"Apr 6, 2016 11:28 am","Apr 8, 2016 8:03 am","Sep 5, 2020 2:49 am",https://forum.fiverr.com/t/problems-with-payment/78949,,obpiotr,22.0,"Am I the only one who has not been able to pay for the gig with credit card?
can’t proceed to checkout at all
Anyone has had the same problem ?",,,,swedeleo,1.0,"Fiverr is constantly updating, it could be a update issue, if the issue still persists contact the fvr support via opening a ticket.
Best of luck.",,"Apr 13, 2016 7:12 am",2020-09-06 15:26:51.466993
