thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
About the Fiverr Site category,Fiverr Site,1,2.7k,99,"Dec 16, 2016 5:21 am",N/A,"Dec 28, 2016 1:12 pm",https://forum.fiverr.com/t/about-the-fiverr-site-category/16,system,system,99,"The Fiverr Site Category is a section for information about the entire Fiverr website. There are categories within this section to report bugs to the community, make suggestions about the fiverr.com 31 site, etc.",N/A,1,"Dec 28, 2016 1:12 pm",N/A,N/A,N/A,N/A,N/A,2020-08-20 18:49:16.626120
Constant emails “Are You Trying To Log In From a New Device?”,"Fiverr Site
Report a Bug",5,72,3,"Aug 17, 2020 11:15 am","Aug 17, 2020 12:49 pm","Aug 20, 2020 6:03 pm",https://forum.fiverr.com/t/constant-emails-are-you-trying-to-log-in-from-a-new-device/502207,N/A,olaue9,1,"Every single time when I login on Fiverr, I immediately get an email asking “Are You Trying To Log In From a New Device?”, even though I always log in from the same computer, from the same spot and in the same network. Like with most providers, mine doesn’t give out fixed IP addresses to private users, but that’s normal for most people working from home. It’s really annoying and I clearly see it as a bug. Unfortunately, when I tried to contact Fiverr to report that bug via their support site, I can only choose options that are not even close to this problem. Has anybody had the same problem? How did you fix it? Why is Fiverr not fixing it?",N/A,1,"Aug 20, 2020 6:13 pm","imagination7413
Regular",1,"Welcome to the Fiverr forums.
Have you checked your profile settings? Do you permit cookies? Permit location?",N/A,"Aug 17, 2020 12:49 pm",2020-08-20 18:49:22.222497
Constant emails “Are You Trying To Log In From a New Device?”,"Fiverr Site
Report a Bug",5,72,3,"Aug 17, 2020 11:15 am","Aug 17, 2020 12:49 pm","Aug 20, 2020 6:03 pm",https://forum.fiverr.com/t/constant-emails-are-you-trying-to-log-in-from-a-new-device/502207,N/A,olaue9,1,"Every single time when I login on Fiverr, I immediately get an email asking “Are You Trying To Log In From a New Device?”, even though I always log in from the same computer, from the same spot and in the same network. Like with most providers, mine doesn’t give out fixed IP addresses to private users, but that’s normal for most people working from home. It’s really annoying and I clearly see it as a bug. Unfortunately, when I tried to contact Fiverr to report that bug via their support site, I can only choose options that are not even close to this problem. Has anybody had the same problem? How did you fix it? Why is Fiverr not fixing it?",N/A,1,"Aug 20, 2020 6:13 pm",olaue9,0,"Hi there,
Thank you for your reply.
I have checked my settings, but there doesn’t seem to be anything relevant to that matter, that I could change. There is a list of my logins, though, showing the exact same data each time, same device, same browser. Still the last login is always marked as “new device”, which makes no sense.
As for your other questions: I do allow cookies for Fiverr, but like all cookies are deleted at shutdown or by an occasional clean up process, which is something normal everybody should do. I certainly wouldn’t change that. And no, I never permit my location. Both of these things shouldn’t matter anyway, when I’m logging in from the same computer with the same browser over the same provider from the same connection.
So, if Fiverr security is based on me giving up all my security on my part then these false messages about a “new logins” will have to keep coming. I’m going to wait and see, if Fiverr will block me at some point or not.",N/A,"Aug 20, 2020 2:50 pm",2020-08-20 18:49:22.552225
Constant emails “Are You Trying To Log In From a New Device?”,"Fiverr Site
Report a Bug",5,72,3,"Aug 17, 2020 11:15 am","Aug 17, 2020 12:49 pm","Aug 20, 2020 6:03 pm",https://forum.fiverr.com/t/constant-emails-are-you-trying-to-log-in-from-a-new-device/502207,N/A,olaue9,1,"Every single time when I login on Fiverr, I immediately get an email asking “Are You Trying To Log In From a New Device?”, even though I always log in from the same computer, from the same spot and in the same network. Like with most providers, mine doesn’t give out fixed IP addresses to private users, but that’s normal for most people working from home. It’s really annoying and I clearly see it as a bug. Unfortunately, when I tried to contact Fiverr to report that bug via their support site, I can only choose options that are not even close to this problem. Has anybody had the same problem? How did you fix it? Why is Fiverr not fixing it?",N/A,1,"Aug 20, 2020 6:13 pm",olaue9,0,"PS. All logins recorded by Fiverr show the same location from my provider, which is in fact totally nonsense, but always the exact same name. So, it can’t be that the location is the issue in this case.",N/A,"Aug 20, 2020 2:52 pm",2020-08-20 18:49:22.889321
Constant emails “Are You Trying To Log In From a New Device?”,"Fiverr Site
Report a Bug",5,72,3,"Aug 17, 2020 11:15 am","Aug 17, 2020 12:49 pm","Aug 20, 2020 6:03 pm",https://forum.fiverr.com/t/constant-emails-are-you-trying-to-log-in-from-a-new-device/502207,N/A,olaue9,1,"Every single time when I login on Fiverr, I immediately get an email asking “Are You Trying To Log In From a New Device?”, even though I always log in from the same computer, from the same spot and in the same network. Like with most providers, mine doesn’t give out fixed IP addresses to private users, but that’s normal for most people working from home. It’s really annoying and I clearly see it as a bug. Unfortunately, when I tried to contact Fiverr to report that bug via their support site, I can only choose options that are not even close to this problem. Has anybody had the same problem? How did you fix it? Why is Fiverr not fixing it?",N/A,1,"Aug 20, 2020 6:13 pm",bumblepixco,0,"Someone must be trying to login your ID, Just for safety, make sure you have multiple IDs connected to your Fiverr ID for logins.",N/A,"Aug 20, 2020 3:12 pm",2020-08-20 18:49:23.236928
Constant emails “Are You Trying To Log In From a New Device?”,"Fiverr Site
Report a Bug",5,72,3,"Aug 17, 2020 11:15 am","Aug 17, 2020 12:49 pm","Aug 20, 2020 6:03 pm",https://forum.fiverr.com/t/constant-emails-are-you-trying-to-log-in-from-a-new-device/502207,N/A,olaue9,1,"Every single time when I login on Fiverr, I immediately get an email asking “Are You Trying To Log In From a New Device?”, even though I always log in from the same computer, from the same spot and in the same network. Like with most providers, mine doesn’t give out fixed IP addresses to private users, but that’s normal for most people working from home. It’s really annoying and I clearly see it as a bug. Unfortunately, when I tried to contact Fiverr to report that bug via their support site, I can only choose options that are not even close to this problem. Has anybody had the same problem? How did you fix it? Why is Fiverr not fixing it?",N/A,1,"Aug 20, 2020 6:13 pm",miiila,1,"I get the “new device” thing any time my laptop shuts down unexpectedly, or when a Windows update happens … which sometimes was so often in such a short time that I wrote to support once, as, like you, I was wondering whether it might lead to issues at some point because some algorithm might flag it as suspicious.
The answer was something vague like “it’s okay if it happens sometimes”, or such, so I let it be, so far, no issues.
ETA: I searched for the support mail, it said “It is possible that the system will recognize your login as being from a new device in some cases where you are not necessarily logging in from a different laptop: for example when you are using a different browser, Incognito mode, if you are using VPN, quitting or clearing cache and cookies…”, and “there shouldn’t be any issues even if you are asked to send a confirmation multiple times in a month”.",N/A,"Aug 20, 2020 6:03 pm",2020-08-20 18:49:23.597854
“Ranked sellers trouble” - we all on the bottom at search result. No orders - no money?,Fiverr Site,17,312,34,"Aug 12, 2020 9:40 am","Aug 12, 2020 9:50 am","Aug 20, 2020 5:23 pm",https://forum.fiverr.com/t/ranked-sellers-trouble-we-all-on-the-bottom-at-search-result-no-orders-no-money/499747,N/A,vadikne,7,"I noticed that from August 1, 2020, the flow of questions and orders from new customers has stopped.
Absolutely.
Instead of 5-6 new customers every day there is just zero now.
I looked for my gigs and found them all at the very bottom of the search results.
Five star Gig with hundreds of reviews lies below absolute beginners and low-rated gigs.
From first line to last page for one day!
Besides myself, I saw on the last page of all my fellow competitors of the 2nd level.
How do you like that, friends?
Support politely advised to read the forum.
P.S. If we don’t make any income this month, how will Fiverr itself make money?
This is the first time I’ve seen this in 2 years.
Who what thinks about this?
It will be black August…",https://aws1.discourse-cdn.com/fiverr/original/4X/a/3/3/a3385d8595321e40debdaeb8f1408ebcbd2f5af7.jpeg,2,"Aug 12, 2020 3:03 pm",vickiespencer,9,"The situation you are speaking of is normal on Fiverr. Your placement is all part of the secret Fiverr algorithm. I was getting several orders per day, and now I too am going through a dry spell due to my gigs’ placement.
There are only 48 first page positions for gigs, and not all of the gigs on Fiverr can appear there. Fiverr also boosts new sellers by letting them appear on the first pages for a short time.
There is not much you can do about the situation. I use the time to improve my gigs and relax, knowing my time to be in a better search placement will return.
vadikne:
P.S. If we don’t make any income this month, how will Fiverr itself make money?
Fiverr is not dependent on each of us as sellers as there are tens of thousands of sellers on Fiverr.",N/A,"Aug 12, 2020 9:50 am",2020-08-20 18:49:30.944891
“Ranked sellers trouble” - we all on the bottom at search result. No orders - no money?,Fiverr Site,17,312,34,"Aug 12, 2020 9:40 am","Aug 12, 2020 9:50 am","Aug 20, 2020 5:23 pm",https://forum.fiverr.com/t/ranked-sellers-trouble-we-all-on-the-bottom-at-search-result-no-orders-no-money/499747,N/A,vadikne,7,"I noticed that from August 1, 2020, the flow of questions and orders from new customers has stopped.
Absolutely.
Instead of 5-6 new customers every day there is just zero now.
I looked for my gigs and found them all at the very bottom of the search results.
Five star Gig with hundreds of reviews lies below absolute beginners and low-rated gigs.
From first line to last page for one day!
Besides myself, I saw on the last page of all my fellow competitors of the 2nd level.
How do you like that, friends?
Support politely advised to read the forum.
P.S. If we don’t make any income this month, how will Fiverr itself make money?
This is the first time I’ve seen this in 2 years.
Who what thinks about this?
It will be black August…",https://aws1.discourse-cdn.com/fiverr/original/4X/a/3/3/a3385d8595321e40debdaeb8f1408ebcbd2f5af7.jpeg,2,"Aug 12, 2020 3:03 pm",hrizvi2000,0,"vickiespencer:
Fiverr also boosts new sellers by letting them appear on the first pages for a short time.
I think fiverr algo boosts gigs with recent reviews. I also think lot of new sellers are buying reviews. Looking at market place its clearly apparent to me. Thats a whole another topic for discussion.
But does buyers want this though? Does buyers want to buy gig from new sellers especially with fake reviews? Thats the real question.",N/A,"Aug 12, 2020 10:00 am",2020-08-20 18:49:31.278656
“Ranked sellers trouble” - we all on the bottom at search result. No orders - no money?,Fiverr Site,17,312,34,"Aug 12, 2020 9:40 am","Aug 12, 2020 9:50 am","Aug 20, 2020 5:23 pm",https://forum.fiverr.com/t/ranked-sellers-trouble-we-all-on-the-bottom-at-search-result-no-orders-no-money/499747,N/A,vadikne,7,"I noticed that from August 1, 2020, the flow of questions and orders from new customers has stopped.
Absolutely.
Instead of 5-6 new customers every day there is just zero now.
I looked for my gigs and found them all at the very bottom of the search results.
Five star Gig with hundreds of reviews lies below absolute beginners and low-rated gigs.
From first line to last page for one day!
Besides myself, I saw on the last page of all my fellow competitors of the 2nd level.
How do you like that, friends?
Support politely advised to read the forum.
P.S. If we don’t make any income this month, how will Fiverr itself make money?
This is the first time I’ve seen this in 2 years.
Who what thinks about this?
It will be black August…",https://aws1.discourse-cdn.com/fiverr/original/4X/a/3/3/a3385d8595321e40debdaeb8f1408ebcbd2f5af7.jpeg,2,"Aug 12, 2020 3:03 pm",vickiespencer,4,"hrizvi2000:
Looking at market place its clearly apparent to me.
I have noticed that too.
hrizvi2000:
Does buyers want to buy gig from new sellers especially with fake reviews? Thats the real question.
I think most buyers are knowledgeable enough to figure out if reviews are fake. I am a seller and a buyer on Fiverr. I read not only the reviews of the seller, but I look at the buyer’s profile. If the buyer has reviews from the seller, then I know the reviews are more than likely fake.
Also, many buyers and sellers with questionable accounts and claim to be US citizens will soon be losing their accounts due to Fiverr’s new requirement that they prove they are US citizens by submitting a W9 tax form with their Social Security number on it. Good riddance to such fake accounts and their fake reviews.",N/A,"Aug 12, 2020 12:56 pm",2020-08-20 18:49:31.628206
“Ranked sellers trouble” - we all on the bottom at search result. No orders - no money?,Fiverr Site,17,312,34,"Aug 12, 2020 9:40 am","Aug 12, 2020 9:50 am","Aug 20, 2020 5:23 pm",https://forum.fiverr.com/t/ranked-sellers-trouble-we-all-on-the-bottom-at-search-result-no-orders-no-money/499747,N/A,vadikne,7,"I noticed that from August 1, 2020, the flow of questions and orders from new customers has stopped.
Absolutely.
Instead of 5-6 new customers every day there is just zero now.
I looked for my gigs and found them all at the very bottom of the search results.
Five star Gig with hundreds of reviews lies below absolute beginners and low-rated gigs.
From first line to last page for one day!
Besides myself, I saw on the last page of all my fellow competitors of the 2nd level.
How do you like that, friends?
Support politely advised to read the forum.
P.S. If we don’t make any income this month, how will Fiverr itself make money?
This is the first time I’ve seen this in 2 years.
Who what thinks about this?
It will be black August…",https://aws1.discourse-cdn.com/fiverr/original/4X/a/3/3/a3385d8595321e40debdaeb8f1408ebcbd2f5af7.jpeg,2,"Aug 12, 2020 3:03 pm","frank_d
Regular",4,"hrizvi2000:
I think fiverr algo boosts gigs with recent reviews.
If that were the case I wouldn’t also be facing a slump in sales.
Public reviews are not as “important” factors to the algorithm anymore.
They used to be, but not anymore.
Aside from negative reviews, anything over 3.0 stars is pretty much useless to the algo.
The number of sellers sporting a 4.9+ average nowadays is insane.
So the algorithm has been adjusted.
Did you know that it’s partly why the “secret reviews” were introduced?
Those are much more important to how you rank.",N/A,"Aug 12, 2020 1:01 pm",2020-08-20 18:49:32.016999
