thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
Checkout order redirect to homepage?,"Fiverr Site
Report a Bug",1,39,3,"Aug 16, 2020 11:00 am","Aug 16, 2020 2:26 pm","Aug 16, 2020 2:26 pm",https://forum.fiverr.com/t/checkout-order-redirect-to-homepage/501642,"paliillustrate, imagination7413",paliillustrate,3.0,Buyer unable to proceed to checkout my order.,,,,"imagination7413
Regular",0.0,"Ask the buyer to try a different browser, or clear the cookies/cache.",,"Aug 16, 2020 2:26 pm",2020-08-20 19:01:19.669344
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,jonbaas,4.0,"All gig images must be approved by Fiverr before they show up on your gig. Please be patient. Once Fiverr reviews those images, if approved, they will show up like they are supposed to.",,"Dec 16, 2017 1:50 am",2020-08-20 19:01:24.036552
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,eranganew,2.0,@jonbaas Thank you very much… Good to hear it.,,"Dec 16, 2017 1:59 am",2020-08-20 19:01:24.386281
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,jonbaas,2.0,"eranganew:
Thank you very much… Good to hear it.
You’re welcome.",,"Dec 16, 2017 2:06 am",2020-08-20 19:01:24.765884
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,,,,,,2020-08-20 19:01:25.098205
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,ayishaabdullah,2.0,why my gig images are not visible? when i create my gig at that time they were visible but now they are not,,"Feb 3, 2020 5:41 am",2020-08-20 19:01:25.497118
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,uk1000,2.0,Have you published your gig (made it active)?,,"Feb 3, 2020 5:44 am",2020-08-20 19:01:25.894155
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,ayishaabdullah,2.0,it was active. Recently i get email that my gig is deactiveted. On what basis they did this??? they said iam fake my work is fake. How they judged my work??? They were my logos i made them i even now have my illustrator files,,"Feb 3, 2020 5:51 am",2020-08-20 19:01:26.274182
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,uk1000,1.0,"ayishaabdullah:
They were my logos i made them i even now have my illustrator files
You could create a support ticket and show support that you created the files/images.",,"Feb 3, 2020 5:53 am",2020-08-20 19:01:26.664635
Gig images are not showing,"Fiverr Site
Report a Bug",14,972,22,"Dec 16, 2017 1:48 am","Dec 16, 2017 1:50 am","Aug 16, 2020 1:07 pm",https://forum.fiverr.com/t/gig-images-are-not-showing/205680,"ayishaabdullah, uk1000, rubaiya_zahin, jonbaas, eranganew, imagination7413",eranganew,3.0,Thumbnails of the second and third images of my logo gig are not showing in the list. When I click the right arrow to see them only names of the images are showing. fiverr allows few examples to show after three gig images in the list state now and my first example also not there. Others are fine. I tried to solve this by re-uploading second and third gig images several times. But the issue still remains…,,,,ayishaabdullah,1.0,how i can can create support tickets?,,"Feb 3, 2020 5:54 am",2020-08-20 19:01:27.043744
