thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
Fiverr Tips for Buyers 2020 - by Logo_Pro5,"Fiverr Tips
Tips for Buyers",1,90,5,"Jul 15, 2020 10:09 pm","Jul 15, 2020 10:38 pm","Jul 15, 2020 10:38 pm",https://forum.fiverr.com/t/fiverr-tips-for-buyers-2020-by-logo-pro5/485548,"logo_pro5, sahercreation",logo_pro5,4.0,This post was flagged by the community and is temporarily hidden.,,,,sahercreation,1.0,Thanks for the information.,,"Jul 15, 2020 10:38 pm",2020-08-14 21:18:58.031192
How to Be part of a team?,Fiverr Tips,1,109,3,"Nov 5, 2019 7:28 pm","Nov 5, 2019 8:51 pm","Nov 5, 2019 8:51 pm",https://forum.fiverr.com/t/how-to-be-part-of-a-team/382031,"katylady771, ahmwritingco",katylady771,2.0,"Hi! I offer all kind of writing gigs…blogging, ads etc. I also am a Virtual Assistant. I remember seeing somewhere about Fiverr teams to increase sales. Is this something any of us can put together? Or does admin invite you? I am a level 1 seller pretty close income wise to a level 2.
Thanks!
Kathleen",,,,ahmwritingco,1.0,"Welcome to the forum.
It sounds like you’re talking about the Studios feature. This feature allows sellers to team up in order to work on bigger projects – to create a virtual studio, if you will.
Only eligible sellers can create/join a studio. It’s easy to tell whether you’re eligible or not.
Check out this link for more info: https://sellers.fiverr.com/en/article/what-is-a-fiverr-studio 4",,"Nov 5, 2019 8:51 pm",2020-08-14 22:38:47.221436
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,miiila,0.0,"Hello and welcome on fiverr.
My guess and tip: That´s Detective Conan as your profile pic, right? If I wanted to hire someone for a cover that I want to use to sell something I made, I´d not choose a seller who uses something they didn´t photograph or create themselves, I´d be afraid that I´ll run into IP (Intellectual Property) issues with the cover they´d give me. Better use a photograph or a drawing or something else you made yourself for your profile pic. And, in case you haven´t yet, make sure that you have a good understanding of IP (ask google, they know not everything, but surely everything there is to know about IP), and don´t use anything you don´t have the relevant rights for to make things for your buyers!
And good luck!",,"Oct 26, 2016 2:10 am",2020-08-14 22:38:51.614776
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,zeus777,0.0,"I believe miiila has summed up everything pretty well. I’m from Japan and a nerd, and as
much as I love my anime and Detective Conan, I won’t want to order a gig from someone
who uses Conan as a profile pic, sorry.
Try reading through this when you have time, it might give you some ideas:
Fiverr Forum 20
Things to keep in mind when you are a new seller (updated version) 20
So here's my slightly updated version of of how to get a step closer to being successful. I'll be as honest and clear as possible. Hopefully this will help some people. Be aware that Fiverr is NOT an easy way to make money. It's not the lottery....
Reading time: 4 mins 🕑
Likes: 7 ❤",,"Oct 26, 2016 2:27 am",2020-08-14 22:38:52.028012
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,theyellowcrow,0.0,"Hello Hammad,
Lets assume a buyer has found your gig and he wants the services which you can deliver.
(There is a lot before that, your gig should be visible, impressions, etc about which I will talk later below)
As a buyer, he will like to know that whether this person is capable enough to complete the work in a perfect way. He also needs to put some trust in you. As it was already mentioned, you need to have a great profile picture. Something which says ‘Yes, I can do it’. People generally tend to trust more if they know with whom they are working with.
I am working with a buyer (still working with her, almost one year). She messaged me to work on a website. After some chat, she asked me to know how I look like. I sent her my picture. Some buyers would ask for it, other would just skip to some other gig. You don’t want to be in a situation where just because of your picture you are not getting sales. Your profile picture should work for you.
Second, ensure you have a great description. A potential buyer will definitely look into your profile before spending any money. He would be curious with whom he will be working with. It would be great if you can be specific as to what type of computer problems you can solve.
Third, re-model your gigs to make them look attractive and professional. Have a great gig gallery and also make sure to add the two PDFs. You need to market yourself as much as possible.
Now, how to get visibility?
The best way is using social media. Join Facebook groups aligning with your services and promote your gigs and services there. Your gig will automatically start to improve its health once its starts receiving the traffic.
There are specific threads on how to promote your gigs, so I will cut it short here and will not explain all of that again.
Hope this helps. Good Luck!",,"Oct 26, 2016 2:49 am",2020-08-14 22:38:52.432115
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,aaron222,0.0,"Get a logo made if you don’t want to use a picture of yourself, that’s what I did. Not that i’m a great example,I’m fairly new here, but i think my profile is pretty good.",,"Oct 26, 2016 2:51 am",2020-08-14 22:38:52.771282
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,miiila,0.0,"I honestly think that you are a great example, already ‘just’ for not using someone else´s photograph!
And even more for for getting one made on top.
If one is good with that kind of things, of course it´s great to do it oneself, but if not, better not. A text I recently translated had something like…just a thought-out example:
You´re a master smith, great, concentrate on smithing your masterworks for your customers, but leave the advertising to pros for advertising.
Which is a very good thought (unless the master smith happens to be a natural talent in advertising, logo creation and such as well, just so nobody takes offense, there are people who can do several things well or well enough of course).",,"Oct 26, 2016 3:05 am",2020-08-14 22:38:53.199084
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,aaron222,0.0,"Hah yeah, I saw someone with Ryan Gosling the other day. However, you see some of these gigs do quite well, it baffles me.
And thank you for the compliment. I had a friend do the logo for me, but the video i just ended up doing by myself to save some money. If you keep it simple, it’s usually quite affective.",,"Oct 26, 2016 7:56 am",2020-08-14 22:38:53.597425
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,hammadkhan064,0.0,Thanks for helping me. It was very infomative for me .,,"Oct 26, 2016 8:11 am",2020-08-14 22:38:54.009320
How to get first order?,"Fiverr Tips
Tips for Sellers",11,906,1,"Oct 26, 2016 1:08 am","Oct 26, 2016 2:10 am","Oct 29, 2016 7:02 am",https://forum.fiverr.com/t/how-to-get-first-order/92638,"hammadkhan064, miiila, zeus777, aaron222, theyellowcrow, deepanshujbedi, zubairfb",hammadkhan064,1.0,"I have submited my gig regarding ecovers like ebook cover dvd cover etc for a week. But I do not have a single order.
What should I do ??",,,,hammadkhan064,0.0,I think I should change my pic … thanks for helping .,,"Oct 26, 2016 8:12 am",2020-08-14 22:38:54.414090
