thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
About the Welcome category,Welcome,1,9.2k,358,"Dec 16, 2016 5:21 am",N/A,"Dec 28, 2016 1:09 pm",https://forum.fiverr.com/t/about-the-welcome-category/20,N/A,system,358,"Introduce yourself here but please DON’T ADVERTISE and DON’T ASK FOR TIPS AND SUGGESTIONS here. Ads will be removed and requests for help/suggestions should/will be ignored in this category.
The Welcome Category is a section to read Community News, Rules, and to Read/Post User Introductions. If you want to write an intro, please use the New User Introductions category. You may mention what you sell, but if you want to make an advertisement, that should go in My Fiverr Gigs.If you want to ask for help or tips, do that in Improve my Gig. 253
Please note that some areas in WELCOME are closed and only Mods/Staff can post in them, but all users can post in the subcategories as described:
New User Introductions 883
Fiverr FAQ 84",N/A,3,"May 21, 2018 4:06 am",N/A,N/A,N/A,N/A,N/A,2020-08-20 18:12:56.062095
The Bowery Awards,"Welcome
News",2,46,6,"Aug 20, 2020 12:19 pm","Aug 20, 2020 12:38 pm","Aug 20, 2020 5:37 pm",https://forum.fiverr.com/t/the-bowery-awards/503897,N/A,"mjensen415
Fiverr Staff",6,"The Bowery Awards is a new competition honoring independent creativity in design, audio, motion video, and short film. As a leading marketplace for freelance talent, Fiverr is thrilled to collaborate with NYF-Advertising-Awards to help celebrate independent creatives around the world.
Today we are excited to be launching a new category for entry, exclusively for commercial work #madeonfiverr. Our own VP of Brand Marketing and Digital Duncan Bird will be joining the executive jury. Visit https://fvrr.co/3kCvpqN to see Duncan’s interview with Executive Jury President, David Sable and learn more about how to enter.
All proceeds from The Bowery Awards will be donated to Feed the Frontlines NYC, a charity donating meals to frontline healthcare workers in NYC.
https://www.boweryawards.com/enter 4
FIVERR SPECIAL - 1/2 off code for entries use “BOW25D”",https://aws1.discourse-cdn.com/fiverr/original/4X/6/d/d/6dd544fedd038c175ea02542c864c65c67dd04ea.jpeg,N/A,N/A,marinapomorac,0,"I can predict the future.
You will have a LOT of people commenting “This is great opportunity bla bla something” mostly thinking that commenting nicely on everything you exhale is going to give them some magical boost on Fiverr and then to realize the cold shower: $50 per entry HA!
For the lazy:
image
780×878 161 KB",https://aws1.discourse-cdn.com/fiverr/original/4X/d/3/3/d332b592190f556d4fea92d11418ac7d25720d1f.png,"Aug 20, 2020 12:38 pm",2020-08-20 18:13:01.522662
The Bowery Awards,"Welcome
News",2,46,6,"Aug 20, 2020 12:19 pm","Aug 20, 2020 12:38 pm","Aug 20, 2020 5:37 pm",https://forum.fiverr.com/t/the-bowery-awards/503897,N/A,"mjensen415
Fiverr Staff",6,"The Bowery Awards is a new competition honoring independent creativity in design, audio, motion video, and short film. As a leading marketplace for freelance talent, Fiverr is thrilled to collaborate with NYF-Advertising-Awards to help celebrate independent creatives around the world.
Today we are excited to be launching a new category for entry, exclusively for commercial work #madeonfiverr. Our own VP of Brand Marketing and Digital Duncan Bird will be joining the executive jury. Visit https://fvrr.co/3kCvpqN to see Duncan’s interview with Executive Jury President, David Sable and learn more about how to enter.
All proceeds from The Bowery Awards will be donated to Feed the Frontlines NYC, a charity donating meals to frontline healthcare workers in NYC.
https://www.boweryawards.com/enter 4
FIVERR SPECIAL - 1/2 off code for entries use “BOW25D”",https://aws1.discourse-cdn.com/fiverr/original/4X/6/d/d/6dd544fedd038c175ea02542c864c65c67dd04ea.jpeg,N/A,N/A,miiila,0,"Well, should be $25 with the code, and it says
“All proceeds will be donated to Feed The Front Lines NYC”,
“all proceeds” would include the entry fees, or?
If so, you can donate (and probably deduct it from your income tax as donation or advertising costs), and at the same time get a chance to win an award, might be interesting for some people. If I was a New Yorker and/or in the relevant niche, I’d probably consider it; if I didn’t win, it would still be a donation and no big loss. If perhaps mostly sellers from NYC (because of the donatee) and only those who want to pay/donate (?) the entry fee take part, chances of winning might not even be so bad.
I’d agree that the wording is a bit off, “competition honoring …” doesn’t really sound like something you need to pay to take part in, maybe that should be made clear right away, and not just in the end through the “1/2 off code for entries”, by calling it “charity competition” or something (but I’d call your wording a bit off too, so I may not be a good meter, to me maybe most wording seems off ;)).
About the future, my prediction is that like 90-100% of the people who only comment because they think it gives them some magical boost, won’t click the link anyway, as they usually don’t read the posts they comment on, so I don’t think there will be many realizations and ""Eek, the water is cold!""s.
However, good luck to any forum participants who don’t mind cold showers and will enter the competition!",N/A,"Aug 20, 2020 5:37 pm",2020-08-20 18:13:01.922089
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",johannejohanne,0,"And when a request disappear from the page, does it mean that the buyer has found a seller?
Some requests are up only for 10 minutes.",N/A,"Jul 2, 2018 7:53 am",2020-08-20 18:13:07.310740
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",uxreview,5,"johannejohanne:
Is there a way to get notifications when there is a new buyer request ?
No
johannejohanne:
does it mean that the buyer has found a seller?
Buyers can remove their requests manually and Fiverr will stop showing requests when they hit a certain limit. For example, new sellers can only bid X amount on each request. You have to be fast
Once you get to 2nd level you’ll see more requests.",N/A,"Jul 2, 2018 8:00 am",2020-08-20 18:13:07.695154
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",N/A,N/A,N/A,N/A,N/A,2020-08-20 18:13:08.034772
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",flyingnetworks,0,i think so. and i think it depend your activity as well.,N/A,"Apr 6, 2019 8:42 am",2020-08-20 18:13:08.425021
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",ummeysafi,1,it is easy for you if you used fiver mobile app.you can active anytime from your mobile phone and send buyer request as well,N/A,"Apr 6, 2019 8:56 am",2020-08-20 18:13:08.763129
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",N/A,N/A,N/A,N/A,N/A,2020-08-20 18:13:09.069835
How to be notified for buyer request?,"Welcome
Fiverr FAQ",9,2.4k,11,"Jul 2, 2018 2:11 am","Jul 2, 2018 7:53 am","Aug 20, 2020 4:52 pm",https://forum.fiverr.com/t/how-to-be-notified-for-buyer-request/256083,N/A,johannejohanne,5,"Hi all,
Is there a way to get notifications when there is a new buyer request ?
I want to answer requests as quickly as I can, I think it’s better. But, I cannot check the page every hour, that’s not very convenient.
Thanks",N/A,1,"Jul 3, 2018 5:49 am",cpsajin,0,how to set buyers request notification in fiverr app.Please reply,N/A,"Dec 22, 2019 3:55 am",2020-08-20 18:13:09.467154
