thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
About the Welcome category,Welcome,1,9.1k,357,"Dec 16, 2016 5:21 am",N/A,"Dec 28, 2016 1:09 pm",https://forum.fiverr.com/t/about-the-welcome-category/20,system,system,357,"Introduce yourself here but please DON’T ADVERTISE and DON’T ASK FOR TIPS AND SUGGESTIONS here. Ads will be removed and requests for help/suggestions should/will be ignored in this category.
The Welcome Category is a section to read Community News, Rules, and to Read/Post User Introductions. If you want to write an intro, please use the New User Introductions category. You may mention what you sell, but if you want to make an advertisement, that should go in My Fiverr Gigs.If you want to ask for help or tips, do that in Improve my Gig. 251
Please note that some areas in WELCOME are closed and only Mods/Staff can post in them, but all users can post in the subcategories as described:
New User Introductions 881
Fiverr FAQ 84",N/A,3,"May 21, 2018 4:06 am",N/A,N/A,N/A,N/A,N/A,2020-08-17 20:17:13.615686
Hi looking for movie prop,"Welcome
New User Introductions!",0,0,0,N/A,N/A,N/A,https://forum.fiverr.com/t/hi-looking-for-movie-prop/502406,N/A,jayaragones354,,hello iam going to start filming in a couple weeks and need some prop ids made,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-17 20:17:17.134111
I am New Seller on Fiverr. I want to introduce myself,"Welcome
New User Introductions!",4,48,3,"Aug 17, 2020 5:25 am","Aug 17, 2020 5:14 pm","Aug 17, 2020 7:58 pm",https://forum.fiverr.com/t/i-am-new-seller-on-fiverr-i-want-to-introduce-myself/502026,"athoi123, sakib398, olupeter, razu55, kawrin",sakib398,3,"Hi,
I am New Seller on Fiverr. I want to introduce myself.
I Provide Graphic Design Services.
Looking Forward to knowing Forum Members",N/A,N/A,N/A,athoi123,0,"Hi, I am from Bangladesh .welcome to fiverr forum. Best of luck for your new journey…",N/A,"Aug 17, 2020 5:14 pm",2020-08-17 20:17:21.599396
I am New Seller on Fiverr. I want to introduce myself,"Welcome
New User Introductions!",4,48,3,"Aug 17, 2020 5:25 am","Aug 17, 2020 5:14 pm","Aug 17, 2020 7:58 pm",https://forum.fiverr.com/t/i-am-new-seller-on-fiverr-i-want-to-introduce-myself/502026,"athoi123, sakib398, olupeter, razu55, kawrin",sakib398,3,"Hi,
I am New Seller on Fiverr. I want to introduce myself.
I Provide Graphic Design Services.
Looking Forward to knowing Forum Members",N/A,N/A,N/A,olupeter,0,Good to have you here @sakib398,N/A,"Aug 17, 2020 5:35 pm",2020-08-17 20:17:21.932744
I am New Seller on Fiverr. I want to introduce myself,"Welcome
New User Introductions!",4,48,3,"Aug 17, 2020 5:25 am","Aug 17, 2020 5:14 pm","Aug 17, 2020 7:58 pm",https://forum.fiverr.com/t/i-am-new-seller-on-fiverr-i-want-to-introduce-myself/502026,"athoi123, sakib398, olupeter, razu55, kawrin",sakib398,3,"Hi,
I am New Seller on Fiverr. I want to introduce myself.
I Provide Graphic Design Services.
Looking Forward to knowing Forum Members",N/A,N/A,N/A,razu55,0,Welcome to Fiverr forum,N/A,"Aug 17, 2020 5:48 pm",2020-08-17 20:17:22.332562
I am New Seller on Fiverr. I want to introduce myself,"Welcome
New User Introductions!",4,48,3,"Aug 17, 2020 5:25 am","Aug 17, 2020 5:14 pm","Aug 17, 2020 7:58 pm",https://forum.fiverr.com/t/i-am-new-seller-on-fiverr-i-want-to-introduce-myself/502026,"athoi123, sakib398, olupeter, razu55, kawrin",sakib398,3,"Hi,
I am New Seller on Fiverr. I want to introduce myself.
I Provide Graphic Design Services.
Looking Forward to knowing Forum Members",N/A,N/A,N/A,kawrin,0,I am from Bangladesh,N/A,"Aug 17, 2020 7:58 pm",2020-08-17 20:17:22.742469
W-9 US Verification Requirement,"Welcome
News",145,3.1k,573,"Aug 10, 2020 5:29 pm",N/A,"Aug 17, 2020 7:02 pm",https://forum.fiverr.com/t/w-9-us-verification-requirement/498943,N/A,"mjensen415
Fiverr Staff",80,"Hi Everyone,
In the next few day, some of you will see that we (Fiverr) will be asking sellers who are defined as a US Person* to complete a W-9 form regarding their activity on Fiverr.
You will receive a notification on the Fiverr website and an email message asking you to check your status within 30 days, in a form of a short questionnaire.
If in fact you are classified as a US Person*, you will undergo a short process in which you will fill in Form W-9 that contains standard business information to include your contact information, full address and tax forms.
Fiverr will not use the information submitted as part of filling the Form W-9 for any purpose, apart from sending a 1099 form at the end of the year to the applicable tax authorities and update your billing address on Fiverr.
Please note that all sellers are required to check if they need to fill out a Form W-9, regardless of their place of residence. By not doing so, within 30 days, your Gigs will be subject to automatic deactivation.
Please read this article 94 carefully for all the information.
FAQ -
Why are you doing this?
When Fiverr is required under applicable laws, it will send a 1099 form at the end of the year to the applicable tax authorities. Currently, this applies to US-based sellers who earned at least $20,000 in that year and had at least 200 separate orders.
Is “tip” considered a transaction?
Any transaction, including tips is counted toward the 200 transactions. An order and a tip are each seperate transatctions.
Is this for money earned or money withdrawn?
Money earned.
Will Fiverr will start to display our legal names anywhere, or is this all internal only?
In certain circumstances, we may disclose the data in your W-9 form, with applicable US tax authorities, or as otherwise required by applicable law. None of this information will be displayed publicly on Fiverr.
Please leave additional questions below.
*For a definition of “US Person” please read more here: https://www.irs.gov/individuals/international-taxpayers/classification-of-taxpayers-for-us-tax-purposes 64",N/A,1,"Aug 10, 2020 6:53 pm",N/A,N/A,N/A,N/A,N/A,2020-08-17 20:17:37.404517
W-9 US Verification Requirement,"Welcome
News",145,3.1k,573,"Aug 10, 2020 5:29 pm",N/A,"Aug 17, 2020 7:02 pm",https://forum.fiverr.com/t/w-9-us-verification-requirement/498943,N/A,"mjensen415
Fiverr Staff",80,"Hi Everyone,
In the next few day, some of you will see that we (Fiverr) will be asking sellers who are defined as a US Person* to complete a W-9 form regarding their activity on Fiverr.
You will receive a notification on the Fiverr website and an email message asking you to check your status within 30 days, in a form of a short questionnaire.
If in fact you are classified as a US Person*, you will undergo a short process in which you will fill in Form W-9 that contains standard business information to include your contact information, full address and tax forms.
Fiverr will not use the information submitted as part of filling the Form W-9 for any purpose, apart from sending a 1099 form at the end of the year to the applicable tax authorities and update your billing address on Fiverr.
Please note that all sellers are required to check if they need to fill out a Form W-9, regardless of their place of residence. By not doing so, within 30 days, your Gigs will be subject to automatic deactivation.
Please read this article 94 carefully for all the information.
FAQ -
Why are you doing this?
When Fiverr is required under applicable laws, it will send a 1099 form at the end of the year to the applicable tax authorities. Currently, this applies to US-based sellers who earned at least $20,000 in that year and had at least 200 separate orders.
Is “tip” considered a transaction?
Any transaction, including tips is counted toward the 200 transactions. An order and a tip are each seperate transatctions.
Is this for money earned or money withdrawn?
Money earned.
Will Fiverr will start to display our legal names anywhere, or is this all internal only?
In certain circumstances, we may disclose the data in your W-9 form, with applicable US tax authorities, or as otherwise required by applicable law. None of this information will be displayed publicly on Fiverr.
Please leave additional questions below.
*For a definition of “US Person” please read more here: https://www.irs.gov/individuals/international-taxpayers/classification-of-taxpayers-for-us-tax-purposes 64",N/A,1,"Aug 10, 2020 6:53 pm",calebjlombardo,14,"Got an email that I need to fill out a w-9 but when I click the link, it’s a blank page. Anyone else have this experience?",N/A,"Aug 10, 2020 1:17 pm",2020-08-17 20:17:37.822958
W-9 US Verification Requirement,"Welcome
News",145,3.1k,573,"Aug 10, 2020 5:29 pm",N/A,"Aug 17, 2020 7:02 pm",https://forum.fiverr.com/t/w-9-us-verification-requirement/498943,N/A,"mjensen415
Fiverr Staff",80,"Hi Everyone,
In the next few day, some of you will see that we (Fiverr) will be asking sellers who are defined as a US Person* to complete a W-9 form regarding their activity on Fiverr.
You will receive a notification on the Fiverr website and an email message asking you to check your status within 30 days, in a form of a short questionnaire.
If in fact you are classified as a US Person*, you will undergo a short process in which you will fill in Form W-9 that contains standard business information to include your contact information, full address and tax forms.
Fiverr will not use the information submitted as part of filling the Form W-9 for any purpose, apart from sending a 1099 form at the end of the year to the applicable tax authorities and update your billing address on Fiverr.
Please note that all sellers are required to check if they need to fill out a Form W-9, regardless of their place of residence. By not doing so, within 30 days, your Gigs will be subject to automatic deactivation.
Please read this article 94 carefully for all the information.
FAQ -
Why are you doing this?
When Fiverr is required under applicable laws, it will send a 1099 form at the end of the year to the applicable tax authorities. Currently, this applies to US-based sellers who earned at least $20,000 in that year and had at least 200 separate orders.
Is “tip” considered a transaction?
Any transaction, including tips is counted toward the 200 transactions. An order and a tip are each seperate transatctions.
Is this for money earned or money withdrawn?
Money earned.
Will Fiverr will start to display our legal names anywhere, or is this all internal only?
In certain circumstances, we may disclose the data in your W-9 form, with applicable US tax authorities, or as otherwise required by applicable law. None of this information will be displayed publicly on Fiverr.
Please leave additional questions below.
*For a definition of “US Person” please read more here: https://www.irs.gov/individuals/international-taxpayers/classification-of-taxpayers-for-us-tax-purposes 64",N/A,1,"Aug 10, 2020 6:53 pm",misscrystal,13,So does this mean that fiverr will send out 1099 forms to us at the start of the new year? Or will we see these on the website? We are required to send copies of a 1099 to the IRS with our taxes. Taxpayers are sent copies of the 1099 either in the mail or shown on a website to be copied.,N/A,"Aug 10, 2020 6:43 pm",2020-08-17 20:17:38.221032
W-9 US Verification Requirement,"Welcome
News",145,3.1k,573,"Aug 10, 2020 5:29 pm",N/A,"Aug 17, 2020 7:02 pm",https://forum.fiverr.com/t/w-9-us-verification-requirement/498943,N/A,"mjensen415
Fiverr Staff",80,"Hi Everyone,
In the next few day, some of you will see that we (Fiverr) will be asking sellers who are defined as a US Person* to complete a W-9 form regarding their activity on Fiverr.
You will receive a notification on the Fiverr website and an email message asking you to check your status within 30 days, in a form of a short questionnaire.
If in fact you are classified as a US Person*, you will undergo a short process in which you will fill in Form W-9 that contains standard business information to include your contact information, full address and tax forms.
Fiverr will not use the information submitted as part of filling the Form W-9 for any purpose, apart from sending a 1099 form at the end of the year to the applicable tax authorities and update your billing address on Fiverr.
Please note that all sellers are required to check if they need to fill out a Form W-9, regardless of their place of residence. By not doing so, within 30 days, your Gigs will be subject to automatic deactivation.
Please read this article 94 carefully for all the information.
FAQ -
Why are you doing this?
When Fiverr is required under applicable laws, it will send a 1099 form at the end of the year to the applicable tax authorities. Currently, this applies to US-based sellers who earned at least $20,000 in that year and had at least 200 separate orders.
Is “tip” considered a transaction?
Any transaction, including tips is counted toward the 200 transactions. An order and a tip are each seperate transatctions.
Is this for money earned or money withdrawn?
Money earned.
Will Fiverr will start to display our legal names anywhere, or is this all internal only?
In certain circumstances, we may disclose the data in your W-9 form, with applicable US tax authorities, or as otherwise required by applicable law. None of this information will be displayed publicly on Fiverr.
Please leave additional questions below.
*For a definition of “US Person” please read more here: https://www.irs.gov/individuals/international-taxpayers/classification-of-taxpayers-for-us-tax-purposes 64",N/A,1,"Aug 10, 2020 6:53 pm",farjananu97,4,This post was flagged by the community and is temporarily hidden.,N/A,"Aug 10, 2020 7:43 pm",2020-08-17 20:17:38.611073
