thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
Video call available in Fiverr!,Your Fiverr Experience,6,19,4,"Aug 24, 2020 9:40 am","Aug 24, 2020 9:48 am","Aug 24, 2020 10:07 am",https://forum.fiverr.com/t/video-call-available-in-fiverr/505771,N/A,ze_blender3d,2,"Finally Fiverr had heard the sellers after so many years.
Although it’s in beta , but I’m quite excited to test out :)))
What your thought?",https://aws1.discourse-cdn.com/fiverr/original/4X/c/7/2/c72d42e630ab05eee2f55c68317c12ea0633e266.png,N/A,N/A,hedayetsaadi556,0,It’s not showing up on my account yet,N/A,"Aug 24, 2020 9:48 am",2020-08-24 10:12:53.266568
Video call available in Fiverr!,Your Fiverr Experience,6,19,4,"Aug 24, 2020 9:40 am","Aug 24, 2020 9:48 am","Aug 24, 2020 10:07 am",https://forum.fiverr.com/t/video-call-available-in-fiverr/505771,N/A,ze_blender3d,2,"Finally Fiverr had heard the sellers after so many years.
Although it’s in beta , but I’m quite excited to test out :)))
What your thought?",https://aws1.discourse-cdn.com/fiverr/original/4X/c/7/2/c72d42e630ab05eee2f55c68317c12ea0633e266.png,N/A,N/A,hazel_justin131,1,"Noooooooooooo
What is this? I am an introvert and this thing is freaking me out. Now buyers will force to discuss the project on video calls. Thank God, it’s beta for now. I hope it stays that way only",N/A,"Aug 24, 2020 9:52 am",2020-08-24 10:12:53.607114
Video call available in Fiverr!,Your Fiverr Experience,6,19,4,"Aug 24, 2020 9:40 am","Aug 24, 2020 9:48 am","Aug 24, 2020 10:07 am",https://forum.fiverr.com/t/video-call-available-in-fiverr/505771,N/A,ze_blender3d,2,"Finally Fiverr had heard the sellers after so many years.
Although it’s in beta , but I’m quite excited to test out :)))
What your thought?",https://aws1.discourse-cdn.com/fiverr/original/4X/c/7/2/c72d42e630ab05eee2f55c68317c12ea0633e266.png,N/A,N/A,ze_blender3d,0,"It’s only still in beta mode, not all seller have this feature",N/A,"Aug 24, 2020 9:59 am",2020-08-24 10:12:53.967947
Video call available in Fiverr!,Your Fiverr Experience,6,19,4,"Aug 24, 2020 9:40 am","Aug 24, 2020 9:48 am","Aug 24, 2020 10:07 am",https://forum.fiverr.com/t/video-call-available-in-fiverr/505771,N/A,ze_blender3d,2,"Finally Fiverr had heard the sellers after so many years.
Although it’s in beta , but I’m quite excited to test out :)))
What your thought?",https://aws1.discourse-cdn.com/fiverr/original/4X/c/7/2/c72d42e630ab05eee2f55c68317c12ea0633e266.png,N/A,N/A,ze_blender3d,0,"hahaha, like your reaction, maybe you can charge buyer if they want a video call, they will to pay extra, to prevent them to contact you… But may not work hahaha",N/A,"Aug 24, 2020 10:00 am",2020-08-24 10:12:54.388557
Video call available in Fiverr!,Your Fiverr Experience,6,19,4,"Aug 24, 2020 9:40 am","Aug 24, 2020 9:48 am","Aug 24, 2020 10:07 am",https://forum.fiverr.com/t/video-call-available-in-fiverr/505771,N/A,ze_blender3d,2,"Finally Fiverr had heard the sellers after so many years.
Although it’s in beta , but I’m quite excited to test out :)))
What your thought?",https://aws1.discourse-cdn.com/fiverr/original/4X/c/7/2/c72d42e630ab05eee2f55c68317c12ea0633e266.png,N/A,N/A,"frank_d
Regular",1,"It’s not available to buyers.
Only you can see this tool.
If you choose to not use it, your buyers will never know the difference.
Once again for clarity: this tool is only available to some sellers right now, as it is in beta.
Even if it rolls out globally, it will still be just for sellers.
It’s in your discretion to use it. No buyer will ever initiate a call.",N/A,"Aug 24, 2020 10:04 am",2020-08-24 10:12:54.730315
Video call available in Fiverr!,Your Fiverr Experience,6,19,4,"Aug 24, 2020 9:40 am","Aug 24, 2020 9:48 am","Aug 24, 2020 10:07 am",https://forum.fiverr.com/t/video-call-available-in-fiverr/505771,N/A,ze_blender3d,2,"Finally Fiverr had heard the sellers after so many years.
Although it’s in beta , but I’m quite excited to test out :)))
What your thought?",https://aws1.discourse-cdn.com/fiverr/original/4X/c/7/2/c72d42e630ab05eee2f55c68317c12ea0633e266.png,N/A,N/A,hazel_justin131,0,"That’s great.
Thank to Fiverr they gave this choice to sellers
Thank you for confirming",N/A,"Aug 24, 2020 10:07 am",2020-08-24 10:12:55.107723
Why sending any link inside chat with buyer is forbiden?,"Your Fiverr Experience
Conversations",2,42,3,"Aug 18, 2020 12:24 pm","Aug 18, 2020 1:56 pm","Aug 24, 2020 10:04 am",https://forum.fiverr.com/t/why-sending-any-link-inside-chat-with-buyer-is-forbiden/502816,N/A,batis13,1,"Today a new Buyer left me a message for ordering one of my gigs , But when I wanted to answered him I found that the Fiverr platform cut the communication and now I can see only the message which says that “… can no longer be contacted.”,
and the reason is He sent me a Telegram link of a bot just for showing me a sample of what he asked for !!
Now I can not make any communication with him and so I may lost one of my potential customer and this is the second time which I have lost a buyer for this reason and I’m sure This is not the end !
What is the solution for this problem ? How a buyer and seller can send each other an usual link just for clarifying their orders without violating the Fiverr rules ?",N/A,N/A,N/A,"imagination7413
Regular",2,"Welcome to the Fiverr forum.
Chances are that it was spam, and they were just trying to get traffic. It’s possible that they sent the same message en-mass to other accounts.",N/A,"Aug 18, 2020 1:56 pm",2020-08-24 10:13:00.372267
Why sending any link inside chat with buyer is forbiden?,"Your Fiverr Experience
Conversations",2,42,3,"Aug 18, 2020 12:24 pm","Aug 18, 2020 1:56 pm","Aug 24, 2020 10:04 am",https://forum.fiverr.com/t/why-sending-any-link-inside-chat-with-buyer-is-forbiden/502816,N/A,batis13,1,"Today a new Buyer left me a message for ordering one of my gigs , But when I wanted to answered him I found that the Fiverr platform cut the communication and now I can see only the message which says that “… can no longer be contacted.”,
and the reason is He sent me a Telegram link of a bot just for showing me a sample of what he asked for !!
Now I can not make any communication with him and so I may lost one of my potential customer and this is the second time which I have lost a buyer for this reason and I’m sure This is not the end !
What is the solution for this problem ? How a buyer and seller can send each other an usual link just for clarifying their orders without violating the Fiverr rules ?",N/A,N/A,N/A,batis13,0,"So please tell us what the best way is for sending the buyer/seller a secure link, if we need to clarify our communication . For example in this , my client sent me a link to a Telegram bot for showing me an example of his request .",N/A,"Aug 24, 2020 10:04 am",2020-08-24 10:13:00.680964
Got my first order ! 5 Star too!,Your Fiverr Experience,32,145,51,"Aug 23, 2020 5:07 am","Aug 23, 2020 5:10 am","Aug 24, 2020 9:59 am",https://forum.fiverr.com/t/got-my-first-order-5-star-too/505158,N/A,silpa_puzhakkal,20,"Hi Everyone ,
I got my first order on the 30th day of Fiverr!
It was a great experience for me
He gave me 5 star too🤗.
May I got more orders .
Thank you.",N/A,N/A,N/A,colorpicx,1,wow congratulations best wishes for your upcoming order,N/A,"Aug 23, 2020 5:10 am",2020-08-24 10:13:09.090395
Got my first order ! 5 Star too!,Your Fiverr Experience,32,145,51,"Aug 23, 2020 5:07 am","Aug 23, 2020 5:10 am","Aug 24, 2020 9:59 am",https://forum.fiverr.com/t/got-my-first-order-5-star-too/505158,N/A,silpa_puzhakkal,20,"Hi Everyone ,
I got my first order on the 30th day of Fiverr!
It was a great experience for me
He gave me 5 star too🤗.
May I got more orders .
Thank you.",N/A,N/A,N/A,silpa_puzhakkal,1,Thank you for your wish,N/A,"Aug 23, 2020 5:11 am",2020-08-24 10:13:09.424240
