thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
How can improve sell on here,"Your Fiverr Experience
Improve My Gig",1,19,1,"Aug 20, 2020 2:15 pm","Aug 20, 2020 2:50 pm","Aug 20, 2020 2:50 pm",https://forum.fiverr.com/t/how-can-improve-sell-on-here/503958,"smmexpart1, coerdelion",smmexpart1,,Give me some tips for more sell.I need sell but not reachable.,,1.0,"Aug 20, 2020 2:50 pm","coerdelion
Moderator",1.0,"These articles may be useful to you:
https://www.fiverr.com/terms_of_service
Forum Rules + Do's and Dont's
Community Rules and Guidelines
Guidelines / Do’s and Dont’s - Updated 2018 Of as much importance as the rules above, these are some additional items to keep in mind as they are suggested best practices and though they may not all be strictly against the rules, posts may be removed/edited and users may have their accounts affected if they push the boundaries too far. First - when the new forum was launched on 12/19/2016 it came with a default set of FAQs/Guidelines. These will be merged later, but for now they should also be…

What have I learned in my 11 months of Fiverr journey
Fiverr Stories
I read a lot of wonderful posts here but never contributed much. So, in this post, I’ll share my insights for what I’ve learned in my Fiverr journey and how can you get more orders if you are a new and level 1 seller. A little about myself first- I am a 27 yr old digital marketer and joined Fiverr last September. I’ve been jumping forth and back from New Seller to Level 1 (credit to the order completion rate). I still don’t make much from Fiverr, it’s around $150-$200/month but it pays some of…

Basics to Improve Your Gig. A helpful breakdown and guide
Tips for Sellers
Introduction – This is not a list on how to make gigs. This is for gigs that are already made that are under-performing, need an overhaul, or just need somewhere to start for self-evaluation/education. It does contain a few general-information bits, and can help during gig creation, but that is neither the focus nor the intent. For more information on any of the following sections or points, please see ‘Other Resources’ under (RRD) at the end of this post. Sections: (TCT) Title, Category, and…

Marketing Yourself - Just Do It - Here's How - UPYOUR
Tips for Sellers
In my recent poll, the following results occurred. 51% of us admitted “I do not do enough marketing” 30% of us know/believe “I do not show up in search results” Only 12% of us have “got an order from a client I brought to Fiverr myself” Only 10% of us have “got an order from a client through social media” 7% said “Our marketing is not working even though I spend time and money on it” It is clear that we need to do more ourselves to build our business and increase our sales. If you read the fo…

[Guide] How to Rank Your Gig for Better Results on Fiverr
Tips for Sellers
We’ve all seen these posts here on the forum from time to time. Many sellers have the same question: “Why isn’t my gig visible when I search for it?” and “What’s up with Fiverr’s algorithm? My gig is on the last page!!!”. In this post I’ll try to answer those questions, and give some (hopefully) helpful tips and tricks to help you rank your gig in Fiverr Search, and get more orders and better visibility. This isn’t a full-proof guide in any way. Following these tips doesn’t guarantee top plac…

New Sellers .... Success Doesn't Come To Those Who Wait!
Tips for Sellers
So many new sellers come on the forum complaining that they have been on the site for a few days or weeks and are fed up waiting for orders. Some sellers wait months or more to get their first order! Don’t wait! Check out: https://forum.fiverr.com/c/Fiverr-Tips/tips-for-sellers for hundreds of tips on how to get orders. Take time to read, learn, and take action! That is the only way to get orders! Be a Doer! Try it out for yourself! Good luck!

How to get any orders at all ... and get more once you have a few
Tips for Sellers
Making money on Fiverr is becoming more difficult these days, with so many new people joining up hoping to earn money on Fiverr quickly. Here are my thoughts on this - and, yes, it involves some work and thought before publishing a gig! [Top 5 Tips For Making Money On Fiverr]",,"Aug 20, 2020 2:50 pm",2020-08-20 18:53:26.922630
Fiverr Bug in Gig,"Your Fiverr Experience
My Fiverr Gigs",0,0,0,,,,https://forum.fiverr.com/t/fiverr-bug-in-gig/503972,,creativehunter9,,"Pricing and Scope section in my gig. Is not showing in the preview mode of the gig. I have seen a lot of gig with this problem, Can anyone explain me how can I solve this problem? Or what I need to do?",,,,,,,,,2020-08-20 18:53:30.578833
Impression case,"Your Fiverr Experience
My Fiverr Gigs",0,0,0,,,,https://forum.fiverr.com/t/impression-case/503847,,mehedihasanalif,2.0,"I get a lot of clicks and impressions daily. But do not know why I am not getting messages suddenly. I used to get good responses from buyers. They used to send me messages. At least, I understood that my account is being shown to others. But now buyers are not messaging me. But my impression and clicks are increasing daily.
Can any expert say why is this happening???",,1.0,"Aug 20, 2020 2:42 pm",,,,,,2020-08-20 18:53:34.073459
Does gig marketing really work?,"Your Fiverr Experience
My Fiverr Gigs",0,0,0,,,,https://forum.fiverr.com/t/does-gig-marketing-really-work/503968,,labanyasarker,2.0,Can anyone say that gig marketing on social media really works? I shared my gig on social media in many times but the result is zero. Is there anyone who got positive results after sharing gigs on social media?,,,,,,,,,2020-08-20 18:53:37.686054
Doesnot show service type on my gig,"Your Fiverr Experience
Improve My Gig",3,47,0,"Aug 16, 2020 3:16 am","Aug 16, 2020 8:45 am","Aug 20, 2020 2:27 pm",https://forum.fiverr.com/t/doesnot-show-service-type-on-my-gig/501463,"hussain_jabir, mr_xulqarnain, uk1000",hussain_jabir,,"i create a new gig last night but it doesnt show any service type.
my gig link: https://www.fiverr.com/share/X04qKP 1",,,,uk1000,0.0,Doesn’t the subcategory it’s in show the type of service it is (ie. Wordpress-> Full Website Creation)?,,"Aug 16, 2020 8:45 am",2020-08-20 18:53:42.062895
Doesnot show service type on my gig,"Your Fiverr Experience
Improve My Gig",3,47,0,"Aug 16, 2020 3:16 am","Aug 16, 2020 8:45 am","Aug 20, 2020 2:27 pm",https://forum.fiverr.com/t/doesnot-show-service-type-on-my-gig/501463,"hussain_jabir, mr_xulqarnain, uk1000",hussain_jabir,,"i create a new gig last night but it doesnt show any service type.
my gig link: https://www.fiverr.com/share/X04qKP 1",,,,hussain_jabir,0.0,yes…but it about 3 days gig doesnot show anything,,"Aug 16, 2020 11:15 am",2020-08-20 18:53:42.392111
Doesnot show service type on my gig,"Your Fiverr Experience
Improve My Gig",3,47,0,"Aug 16, 2020 3:16 am","Aug 16, 2020 8:45 am","Aug 20, 2020 2:27 pm",https://forum.fiverr.com/t/doesnot-show-service-type-on-my-gig/501463,"hussain_jabir, mr_xulqarnain, uk1000",hussain_jabir,,"i create a new gig last night but it doesnt show any service type.
my gig link: https://www.fiverr.com/share/X04qKP 1",,,,mr_xulqarnain,0.0,I’m also facing this issue,,"Aug 20, 2020 2:27 pm",2020-08-20 18:53:42.727082
Seeking advice from experience people,"Your Fiverr Experience
Improve My Gig",2,37,6,"Aug 20, 2020 12:04 pm","Aug 20, 2020 2:18 pm","Aug 20, 2020 2:21 pm",https://forum.fiverr.com/t/seeking-advice-from-experience-people/503885,"roni_khan0, uk1000",roni_khan0,3.0,"Hello, Greetings! I have created my account last May. I have got four reviews! I am sending near about 10 offers for buyer requests every day. I have sent 605 offers. I do not use any template, I write it manually. But for more than a month now, I have not received a response from buyers. Can anyone please tell me what I can do now?
Is it normal? Or do I have a problem?",,1.0,"Aug 20, 2020 12:53 pm",uk1000,2.0,"Look at the forum threads about how to send the best offers to buyer requests, ones that specifically address what the buyer is asking for.
Also re: your gigs, these are my suggestions/comments for things that could be changed:
Gig: I will photo edit for you
In the gig description:
“before place your order” could be “before placing your order”
Gig: I will be your virtual assistant for any kind of data entry job
In the gig description:
“Web Scrapping” could be “Web Scraping” - it’s correct in one place.
Gig: I will support you with amazon wish list, reviews for your business
In the gig description:
“So, let’s began” could be “So, let’s begin”
It says “I will provide you product and customer review” - you could get in trouble (warning?) if you are offering to write customer reviews.",,"Aug 20, 2020 2:18 pm",2020-08-20 18:53:46.990349
Seeking advice from experience people,"Your Fiverr Experience
Improve My Gig",2,37,6,"Aug 20, 2020 12:04 pm","Aug 20, 2020 2:18 pm","Aug 20, 2020 2:21 pm",https://forum.fiverr.com/t/seeking-advice-from-experience-people/503885,"roni_khan0, uk1000",roni_khan0,3.0,"Hello, Greetings! I have created my account last May. I have got four reviews! I am sending near about 10 offers for buyer requests every day. I have sent 605 offers. I do not use any template, I write it manually. But for more than a month now, I have not received a response from buyers. Can anyone please tell me what I can do now?
Is it normal? Or do I have a problem?",,1.0,"Aug 20, 2020 12:53 pm",roni_khan0,1.0,"uk1000:
he buyer is askin
Thanks for your advice.",,"Aug 20, 2020 2:21 pm",2020-08-20 18:53:47.321621
Emoji Game Round 4!,"Your Fiverr Experience
Conversations",416,2.6k,1.3k,"Apr 20, 2020 9:29 pm","Apr 20, 2020 9:41 pm","Aug 20, 2020 2:13 pm",https://forum.fiverr.com/t/emoji-game-round-4/438710,"maitasun, ahmwritingco, vovkaslovesnyy, imagination7413, bubbles1595, nikavoice, mariashtelle1, vickiespencer, krheate, asifkhanmf, jephu100, csaqonline, muztre, zayed71, jesh_art_studio, eptekhar_emon, g_sidd",vickiespencer,36.0,"Since the Emoji Game Round 3 is at 510 posts, it is time to start lucky round .
Rules:
Someone will think of a word, compound word, phrase, or sentence and create a code for it by using only emojis. Then post it for others to solve.
Respond by:
Guessing the compound word, short phrase, or sentence the emojis signifies.
If you solve the emoji puzzle, then you can use emojis to make your compound word, phrase, or sentence for the next person to guess. It can be a place, an animal, the title of a movie, a saying, a book, or whatever you like best. Then convert your thought into emojis.
Continuing from the last game, @maitasun had created this puzzle.",,1.0,"Apr 20, 2020 9:42 pm",maitasun,11.0,"Emoji Game Round 3!
Conversations
Sometimes a field may suddenly transform into a ship… or a sheep Just I couldn’t find a proper song…
Emoji Game Round 3!
Conversations
Absolutely correct!!! I know, I know. It also happened to me. I had a hard time thinking on and searching for a hint without giving away the answer. Definitely, not easy.",,"Apr 20, 2020 9:41 pm",2020-08-20 18:54:21.311068
