thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date,
Gig was on First Page but now on last page from 5 month,"Your Fiverr Experience
Improve My Gig",6,24,4,"Jul 21, 2020 3:17 pm","Jul 21, 2020 3:21 pm","Jul 21, 2020 5:08 pm",https://forum.fiverr.com/t/gig-was-on-first-page-but-now-on-last-page-from-5-month/488951,"ikhan4547, ellkasimi",ikhan4547,3,"The gig was on First Page but now on the last page from 5 months, I have completed almost 200 plus order with overall rating 4.9. No new client has contacted me since march 20 as my gig is on the last page. Even when I create a new gig it remains on the 1st page till 24 hours but after 24 hours it also goes to the last page. Please, anyone, solve my problem/",N/A,1,"Jul 21, 2020 4:15 pm",ellkasimi,0,Maybe you have canceled some orders,N/A,"Jul 21, 2020 3:21 pm",2020-07-21 17:09:17.312861,
Gig was on First Page but now on last page from 5 month,"Your Fiverr Experience
Improve My Gig",6,24,4,"Jul 21, 2020 3:17 pm","Jul 21, 2020 3:21 pm","Jul 21, 2020 5:08 pm",https://forum.fiverr.com/t/gig-was-on-first-page-but-now-on-last-page-from-5-month/488951,"ikhan4547, ellkasimi",ikhan4547,3,"The gig was on First Page but now on the last page from 5 months, I have completed almost 200 plus order with overall rating 4.9. No new client has contacted me since march 20 as my gig is on the last page. Even when I create a new gig it remains on the 1st page till 24 hours but after 24 hours it also goes to the last page. Please, anyone, solve my problem/",N/A,1,"Jul 21, 2020 4:15 pm",ikhan4547,0,"Yes , i have cancelled order . But only 15 cancelled order and 200 completed order … How can recover my position .",N/A,"Jul 21, 2020 3:30 pm",2020-07-21 17:09:17.655196,
Gig was on First Page but now on last page from 5 month,"Your Fiverr Experience
Improve My Gig",6,24,4,"Jul 21, 2020 3:17 pm","Jul 21, 2020 3:21 pm","Jul 21, 2020 5:08 pm",https://forum.fiverr.com/t/gig-was-on-first-page-but-now-on-last-page-from-5-month/488951,"ikhan4547, ellkasimi",ikhan4547,3,"The gig was on First Page but now on the last page from 5 months, I have completed almost 200 plus order with overall rating 4.9. No new client has contacted me since march 20 as my gig is on the last page. Even when I create a new gig it remains on the 1st page till 24 hours but after 24 hours it also goes to the last page. Please, anyone, solve my problem/",N/A,1,"Jul 21, 2020 4:15 pm",ikhan4547,1,,N/A,"Jul 21, 2020 3:31 pm",2020-07-21 17:09:18.075937,
Gig was on First Page but now on last page from 5 month,"Your Fiverr Experience
Improve My Gig",6,24,4,"Jul 21, 2020 3:17 pm","Jul 21, 2020 3:21 pm","Jul 21, 2020 5:08 pm",https://forum.fiverr.com/t/gig-was-on-first-page-but-now-on-last-page-from-5-month/488951,"ikhan4547, ellkasimi",ikhan4547,3,"The gig was on First Page but now on the last page from 5 months, I have completed almost 200 plus order with overall rating 4.9. No new client has contacted me since march 20 as my gig is on the last page. Even when I create a new gig it remains on the 1st page till 24 hours but after 24 hours it also goes to the last page. Please, anyone, solve my problem/",N/A,1,"Jul 21, 2020 4:15 pm",ellkasimi,0,"I meet the same problem before, I tried to recover but in vain, now I create a new account, maybe you can wait, I had no patient to wait even though I have positive reviews.",N/A,"Jul 21, 2020 4:00 pm",2020-07-21 17:09:18.416800,
Gig was on First Page but now on last page from 5 month,"Your Fiverr Experience
Improve My Gig",6,24,4,"Jul 21, 2020 3:17 pm","Jul 21, 2020 3:21 pm","Jul 21, 2020 5:08 pm",https://forum.fiverr.com/t/gig-was-on-first-page-but-now-on-last-page-from-5-month/488951,"ikhan4547, ellkasimi",ikhan4547,3,"The gig was on First Page but now on the last page from 5 months, I have completed almost 200 plus order with overall rating 4.9. No new client has contacted me since march 20 as my gig is on the last page. Even when I create a new gig it remains on the 1st page till 24 hours but after 24 hours it also goes to the last page. Please, anyone, solve my problem/",N/A,1,"Jul 21, 2020 4:15 pm",ikhan4547,0,I have tried my best as i have changed the tags and descriptions but in vain. Is this punishment by fiverr?,N/A,"Jul 21, 2020 4:05 pm",2020-07-21 17:09:18.751534,
Gig was on First Page but now on last page from 5 month,"Your Fiverr Experience
Improve My Gig",6,24,4,"Jul 21, 2020 3:17 pm","Jul 21, 2020 3:21 pm","Jul 21, 2020 5:08 pm",https://forum.fiverr.com/t/gig-was-on-first-page-but-now-on-last-page-from-5-month/488951,"ikhan4547, ellkasimi",ikhan4547,3,"The gig was on First Page but now on the last page from 5 months, I have completed almost 200 plus order with overall rating 4.9. No new client has contacted me since march 20 as my gig is on the last page. Even when I create a new gig it remains on the 1st page till 24 hours but after 24 hours it also goes to the last page. Please, anyone, solve my problem/",N/A,1,"Jul 21, 2020 4:15 pm",ellkasimi,0,"I do not know bro, maybe it is.",N/A,"Jul 21, 2020 5:08 pm",2020-07-21 17:09:19.155774,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",themeexpress,3,Congratulations brother. Best of luck,N/A,"Jul 21, 2020 3:25 pm",2020-07-21 17:09:25.790628,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",akraam_uddin,3,Congress king of shopify .,N/A,"Jul 21, 2020 3:28 pm",2020-07-21 17:09:26.136478,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",arifhosensefat,2,thanks brother. pray for me,N/A,"Jul 21, 2020 3:29 pm",2020-07-21 17:09:26.531762,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",hasanmallick,2,"arifhosensefat:
2 days
It’s Sounds good.
Best of Luck",N/A,"Jul 21, 2020 3:29 pm",2020-07-21 17:09:26.920974,
