thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
Gig dissapeared from search,Your Fiverr Experience,4,33,3,"Jul 29, 2020 11:24 pm","Jul 29, 2020 11:42 pm","Jul 30, 2020 12:44 am",https://forum.fiverr.com/t/gig-dissapeared-from-search/493558,"burmula, lisan_e, gihangihan869",burmula,3,Hi! My gig was on the first page. In the second row. After I done some orders it totally dissapeared. It is nowgere. I look through all the pages with my tag (which I previously used to see my gig on the first page). I have 6 orders in queue. Maybe it is a reason? Can someone help me? I have no any limitation regarding orders in queue.,N/A,N/A,N/A,lisan_e,0,same problem in my case. I don’t know how resque from this problem,N/A,"Jul 29, 2020 11:42 pm",2020-07-30 00:50:57.129985
Gig dissapeared from search,Your Fiverr Experience,4,33,3,"Jul 29, 2020 11:24 pm","Jul 29, 2020 11:42 pm","Jul 30, 2020 12:44 am",https://forum.fiverr.com/t/gig-dissapeared-from-search/493558,"burmula, lisan_e, gihangihan869",burmula,3,Hi! My gig was on the first page. In the second row. After I done some orders it totally dissapeared. It is nowgere. I look through all the pages with my tag (which I previously used to see my gig on the first page). I have 6 orders in queue. Maybe it is a reason? Can someone help me? I have no any limitation regarding orders in queue.,N/A,N/A,N/A,burmula,0,Do you have orders in queue? Did you ask Service Center?,N/A,"Jul 29, 2020 11:55 pm",2020-07-30 00:50:57.470020
Gig dissapeared from search,Your Fiverr Experience,4,33,3,"Jul 29, 2020 11:24 pm","Jul 29, 2020 11:42 pm","Jul 30, 2020 12:44 am",https://forum.fiverr.com/t/gig-dissapeared-from-search/493558,"burmula, lisan_e, gihangihan869",burmula,3,Hi! My gig was on the first page. In the second row. After I done some orders it totally dissapeared. It is nowgere. I look through all the pages with my tag (which I previously used to see my gig on the first page). I have 6 orders in queue. Maybe it is a reason? Can someone help me? I have no any limitation regarding orders in queue.,N/A,N/A,N/A,gihangihan869,0,Did you change your description or images in your gig?,N/A,"Jul 30, 2020 12:31 am",2020-07-30 00:50:57.862362
Gig dissapeared from search,Your Fiverr Experience,4,33,3,"Jul 29, 2020 11:24 pm","Jul 29, 2020 11:42 pm","Jul 30, 2020 12:44 am",https://forum.fiverr.com/t/gig-dissapeared-from-search/493558,"burmula, lisan_e, gihangihan869",burmula,3,Hi! My gig was on the first page. In the second row. After I done some orders it totally dissapeared. It is nowgere. I look through all the pages with my tag (which I previously used to see my gig on the first page). I have 6 orders in queue. Maybe it is a reason? Can someone help me? I have no any limitation regarding orders in queue.,N/A,N/A,N/A,burmula,0,"No. But I pushed Edit button, and then pushed Save without any changes. Is it may cause dissapearing of my Gig? And how long it will last?",N/A,"Jul 30, 2020 12:44 am",2020-07-30 00:50:58.258316
Seeking help with the username,Your Fiverr Experience,8,82,7,"Jul 28, 2020 4:56 am","Jul 28, 2020 4:58 am","Jul 30, 2020 12:41 am",https://forum.fiverr.com/t/seeking-help-with-the-username/492625,"sh8768, imagination7413, english_voice, miiila",sh8768,1,"Hi,
I am new at Fiverr and still learning about this freelancing platform. As I joined for the first time using the Google sign-in method, I was automatically assigned a username by the website.
This username which I did not get the chance to choose for myself is merely a random assortment of letters and numbers, that do not reflect my name or identity in any way. As I plan to build my brand as a reputable freelance seller, I would request some good advice as to what to do about the username that I am unable to change from the settings page. Thank you.",N/A,N/A,N/A,english_voice,2,"The only way to change your username is to close your account and start again.
Search the forum for ‘change username’ and you will find numerous similar posts.",N/A,"Jul 28, 2020 4:58 am",2020-07-30 00:51:02.576188
Seeking help with the username,Your Fiverr Experience,8,82,7,"Jul 28, 2020 4:56 am","Jul 28, 2020 4:58 am","Jul 30, 2020 12:41 am",https://forum.fiverr.com/t/seeking-help-with-the-username/492625,"sh8768, imagination7413, english_voice, miiila",sh8768,1,"Hi,
I am new at Fiverr and still learning about this freelancing platform. As I joined for the first time using the Google sign-in method, I was automatically assigned a username by the website.
This username which I did not get the chance to choose for myself is merely a random assortment of letters and numbers, that do not reflect my name or identity in any way. As I plan to build my brand as a reputable freelance seller, I would request some good advice as to what to do about the username that I am unable to change from the settings page. Thank you.",N/A,N/A,N/A,sh8768,0,"Thank you for a quick reply. Regarding closing the account, I have had the chance to read about it through posts in the forum as well as advice in the help section. Moreover, my friend faced a bad experience yesterday after having accidentally de-activated her account only to find she cannot join again using the same email address anymore.
I have already used my primary email address (Gmail) for the initial sign up and have verified my phone number yesterday, so if these were to only be used once, does that mean I would have no way to sign up again using the same credentials once I have my current account de-activated?",N/A,"Jul 28, 2020 5:18 am",2020-07-30 00:51:02.945124
Seeking help with the username,Your Fiverr Experience,8,82,7,"Jul 28, 2020 4:56 am","Jul 28, 2020 4:58 am","Jul 30, 2020 12:41 am",https://forum.fiverr.com/t/seeking-help-with-the-username/492625,"sh8768, imagination7413, english_voice, miiila",sh8768,1,"Hi,
I am new at Fiverr and still learning about this freelancing platform. As I joined for the first time using the Google sign-in method, I was automatically assigned a username by the website.
This username which I did not get the chance to choose for myself is merely a random assortment of letters and numbers, that do not reflect my name or identity in any way. As I plan to build my brand as a reputable freelance seller, I would request some good advice as to what to do about the username that I am unable to change from the settings page. Thank you.",N/A,N/A,N/A,"imagination7413
Regular",2,"Have you read this one yet?
https://sellers.fiverr.com/en/article/how-do-i-change-my-username 3",N/A,"Jul 28, 2020 10:02 am",2020-07-30 00:51:03.322897
Seeking help with the username,Your Fiverr Experience,8,82,7,"Jul 28, 2020 4:56 am","Jul 28, 2020 4:58 am","Jul 30, 2020 12:41 am",https://forum.fiverr.com/t/seeking-help-with-the-username/492625,"sh8768, imagination7413, english_voice, miiila",sh8768,1,"Hi,
I am new at Fiverr and still learning about this freelancing platform. As I joined for the first time using the Google sign-in method, I was automatically assigned a username by the website.
This username which I did not get the chance to choose for myself is merely a random assortment of letters and numbers, that do not reflect my name or identity in any way. As I plan to build my brand as a reputable freelance seller, I would request some good advice as to what to do about the username that I am unable to change from the settings page. Thank you.",N/A,N/A,N/A,miiila,2,"I had that Google sign-in issue too. Contact support, they can help you.",N/A,"Jul 28, 2020 2:54 pm",2020-07-30 00:51:03.718246
Seeking help with the username,Your Fiverr Experience,8,82,7,"Jul 28, 2020 4:56 am","Jul 28, 2020 4:58 am","Jul 30, 2020 12:41 am",https://forum.fiverr.com/t/seeking-help-with-the-username/492625,"sh8768, imagination7413, english_voice, miiila",sh8768,1,"Hi,
I am new at Fiverr and still learning about this freelancing platform. As I joined for the first time using the Google sign-in method, I was automatically assigned a username by the website.
This username which I did not get the chance to choose for myself is merely a random assortment of letters and numbers, that do not reflect my name or identity in any way. As I plan to build my brand as a reputable freelance seller, I would request some good advice as to what to do about the username that I am unable to change from the settings page. Thank you.",N/A,N/A,N/A,sh8768,0,Thank you for your advice. Cheers!,N/A,"Jul 29, 2020 12:23 am",2020-07-30 00:51:04.106722
Seeking help with the username,Your Fiverr Experience,8,82,7,"Jul 28, 2020 4:56 am","Jul 28, 2020 4:58 am","Jul 30, 2020 12:41 am",https://forum.fiverr.com/t/seeking-help-with-the-username/492625,"sh8768, imagination7413, english_voice, miiila",sh8768,1,"Hi,
I am new at Fiverr and still learning about this freelancing platform. As I joined for the first time using the Google sign-in method, I was automatically assigned a username by the website.
This username which I did not get the chance to choose for myself is merely a random assortment of letters and numbers, that do not reflect my name or identity in any way. As I plan to build my brand as a reputable freelance seller, I would request some good advice as to what to do about the username that I am unable to change from the settings page. Thank you.",N/A,N/A,N/A,sh8768,0,"@ [imagination7413]
Yes, I have gone through this information, and as of yesterday, I have been able to successfully change the email address to a secondary email account.
What is not clear however is whether I would need to also change the phone number as well as details from my profile page including my profile picture, if I would need to re-use these for my new account.",N/A,"Jul 29, 2020 12:25 am",2020-07-30 00:51:04.498942
